"trainer/global_step","2e4 - _step","2e4 - _step__MIN","2e4 - _step__MAX","2e4 - val-MAE Hessian","2e4 - val-MAE Hessian__MIN","2e4 - val-MAE Hessian__MAX","7e5 - _step","7e5 - _step__MIN","7e5 - _step__MAX","7e5 - val-MAE Hessian","7e5 - val-MAE Hessian__MIN","7e5 - val-MAE Hessian__MAX","5e5 - _step","5e5 - _step__MIN","5e5 - _step__MAX","5e5 - val-MAE Hessian","5e5 - val-MAE Hessian__MIN","5e5 - val-MAE Hessian__MAX","3e5 - _step","3e5 - _step__MIN","3e5 - _step__MAX","3e5 - val-MAE Hessian","3e5 - val-MAE Hessian__MIN","3e5 - val-MAE Hessian__MAX","6e5 - _step","6e5 - _step__MIN","6e5 - _step__MAX","6e5 - val-MAE Hessian","6e5 - val-MAE Hessian__MIN","6e5 - val-MAE Hessian__MAX","2e5 - _step","2e5 - _step__MIN","2e5 - _step__MAX","2e5 - val-MAE Hessian","2e5 - val-MAE Hessian__MIN","2e5 - val-MAE Hessian__MAX","1e3 - _step","1e3 - _step__MIN","1e3 - _step__MAX","1e3 - val-MAE Hessian","1e3 - val-MAE Hessian__MIN","1e3 - val-MAE Hessian__MAX","1e6 - _step","1e6 - _step__MIN","1e6 - _step__MAX","1e6 - val-MAE Hessian","1e6 - val-MAE Hessian__MIN","1e6 - val-MAE Hessian__MAX","1e4 - _step","1e4 - _step__MIN","1e4 - _step__MAX","1e4 - val-MAE Hessian","1e4 - val-MAE Hessian__MIN","1e4 - val-MAE Hessian__MAX","1e5 - _step","1e5 - _step__MIN","1e5 - _step__MAX","1e5 - val-MAE Hessian","1e5 - val-MAE Hessian__MIN","1e5 - val-MAE Hessian__MAX","4e5 - _step","4e5 - _step__MIN","4e5 - _step__MAX","4e5 - val-MAE Hessian","4e5 - val-MAE Hessian__MIN","4e5 - val-MAE Hessian__MAX","8e5 - _step","8e5 - _step__MIN","8e5 - _step__MAX","8e5 - val-MAE Hessian","8e5 - val-MAE Hessian__MIN","8e5 - val-MAE Hessian__MAX","1.7e6 - _step","1.7e6 - _step__MIN","1.7e6 - _step__MAX","1.7e6 - val-MAE Hessian","1.7e6 - val-MAE Hessian__MIN","1.7e6 - val-MAE Hessian__MAX","8e4 - _step","8e4 - _step__MIN","8e4 - _step__MAX","8e4 - val-MAE Hessian","8e4 - val-MAE Hessian__MIN","8e4 - val-MAE Hessian__MAX","6e4 - _step","6e4 - _step__MIN","6e4 - _step__MAX","6e4 - val-MAE Hessian","6e4 - val-MAE Hessian__MIN","6e4 - val-MAE Hessian__MAX","4e4 - _step","4e4 - _step__MIN","4e4 - _step__MAX","4e4 - val-MAE Hessian","4e4 - val-MAE Hessian__MIN","4e4 - val-MAE Hessian__MAX"
"25599","51219","51219","51219","0.05472186580300331","0.05472186580300331","0.05472186580300331","51219","51219","51219","0.050647638738155365","0.050647638738155365","0.050647638738155365","51219","51219","51219","0.054926298558712006","0.054926298558712006","0.054926298558712006","","","","","","","51219","51219","51219","0.05458968132734299","0.05458968132734299","0.05458968132734299","51219","51219","51219","0.051989804953336716","0.051989804953336716","0.051989804953336716","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28799","","","","","","","","","","","","","","","","","","","57625","57625","57625","0.054356276988983154","0.054356276988983154","0.054356276988983154","","","","","","","","","","","","","59527","59527","59527","0.1492486447095871","0.1492486447095871","0.1492486447095871","57625","57625","57625","0.049856122583150864","0.049856122583150864","0.049856122583150864","57792","57792","57792","0.07339625805616379","0.07339625805616379","0.07339625805616379","57626","57626","57626","0.053902123123407364","0.053902123123407364","0.053902123123407364","57625","57625","57625","0.046537820249795914","0.046537820249795914","0.046537820249795914","57625","57625","57625","0.05252040922641754","0.05252040922641754","0.05252040922641754","57625","57625","57625","0.054734084755182266","0.054734084755182266","0.054734084755182266","57631","57631","57631","0.052092090249061584","0.052092090249061584","0.052092090249061584","57638","57638","57638","0.05101361870765686","0.05101361870765686","0.05101361870765686","57654","57654","57654","0.05594393238425255","0.05594393238425255","0.05594393238425255"
"31999","64024","64024","64024","0.049900591373443604","0.049900591373443604","0.049900591373443604","64024","64024","64024","0.05104837194085121","0.05104837194085121","0.05104837194085121","64024","64024","64024","0.04812995344400406","0.04812995344400406","0.04812995344400406","","","","","","","64024","64024","64024","0.05096711218357086","0.05096711218357086","0.05096711218357086","64024","64024","64024","0.05138133466243744","0.05138133466243744","0.05138133466243744","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32399","","","","","","","","","","","","","","","","","","","64829","64829","64829","0.05328034609556198","0.05328034609556198","0.05328034609556198","","","","","","","","","","","","","66968","66968","66968","0.14910738170146942","0.14910738170146942","0.14910738170146942","64829","64829","64829","0.04746304824948311","0.04746304824948311","0.04746304824948311","65016","65016","65016","0.07124337553977966","0.07124337553977966","0.07124337553977966","64829","64829","64829","0.05300022289156914","0.05300022289156914","0.05300022289156914","64829","64829","64829","0.04661126434803009","0.04661126434803009","0.04661126434803009","64829","64829","64829","0.04977143928408623","0.04977143928408623","0.04977143928408623","64829","64829","64829","0.046253107488155365","0.046253107488155365","0.046253107488155365","64834","64834","64834","0.05031748116016388","0.05031748116016388","0.05031748116016388","64843","64843","64843","0.052554644644260406","0.052554644644260406","0.052554644644260406","64860","64860","64860","0.05293919891119003","0.05293919891119003","0.05293919891119003"
"35999","","","","","","","","","","","","","","","","","","","72032","72032","72032","0.04736965149641037","0.04736965149641037","0.04736965149641037","","","","","","","","","","","","","74409","74409","74409","0.14753490686416626","0.14753490686416626","0.14753490686416626","72032","72032","72032","0.04701992869377136","0.04701992869377136","0.04701992869377136","72240","72240","72240","0.07381922751665115","0.07381922751665115","0.07381922751665115","72033","72033","72033","0.047598641365766525","0.047598641365766525","0.047598641365766525","72032","72032","72032","0.04723811894655228","0.04723811894655228","0.04723811894655228","72032","72032","72032","0.045546650886535645","0.045546650886535645","0.045546650886535645","72032","72032","72032","0.04830833151936531","0.04830833151936531","0.04830833151936531","72038","72038","72038","0.05126556009054184","0.05126556009054184","0.05126556009054184","72048","72048","72048","0.0515081025660038","0.0515081025660038","0.0515081025660038","72067","72067","72067","0.05331623554229736","0.05331623554229736","0.05331623554229736"
"38399","76829","76829","76829","0.04778533801436424","0.04778533801436424","0.04778533801436424","76829","76829","76829","0.046257149428129196","0.046257149428129196","0.046257149428129196","76829","76829","76829","0.049055568873882294","0.049055568873882294","0.049055568873882294","","","","","","","76829","76829","76829","0.04851127788424492","0.04851127788424492","0.04851127788424492","76829","76829","76829","0.044724296778440475","0.044724296778440475","0.044724296778440475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39599","","","","","","","","","","","","","","","","","","","79235","79235","79235","0.04589737951755524","0.04589737951755524","0.04589737951755524","","","","","","","","","","","","","81850","81850","81850","0.14624203741550446","0.14624203741550446","0.14624203741550446","79235","79235","79235","0.046794481575489044","0.046794481575489044","0.046794481575489044","79464","79464","79464","0.07147291302680969","0.07147291302680969","0.07147291302680969","79236","79236","79236","0.04530911520123482","0.04530911520123482","0.04530911520123482","79235","79235","79235","0.046652358025312424","0.046652358025312424","0.046652358025312424","79235","79235","79235","0.044577281922101974","0.044577281922101974","0.044577281922101974","79235","79235","79235","0.04455868527293205","0.04455868527293205","0.04455868527293205","79242","79242","79242","0.04907857999205589","0.04907857999205589","0.04907857999205589","79253","79253","79253","0.05396771430969238","0.05396771430969238","0.05396771430969238","79274","79274","79274","0.055836234241724014","0.055836234241724014","0.055836234241724014"
"43199","","","","","","","","","","","","","","","","","","","86438","86438","86438","0.0439394935965538","0.0439394935965538","0.0439394935965538","","","","","","","","","","","","","89291","89291","89291","0.14686371386051178","0.14686371386051178","0.14686371386051178","86438","86438","86438","0.047288015484809875","0.047288015484809875","0.047288015484809875","86688","86688","86688","0.07261397689580917","0.07261397689580917","0.07261397689580917","86439","86439","86439","0.04940611496567726","0.04940611496567726","0.04940611496567726","86438","86438","86438","0.045195288956165314","0.045195288956165314","0.045195288956165314","86438","86438","86438","0.04459269344806671","0.04459269344806671","0.04459269344806671","86438","86438","86438","0.0434514619410038","0.0434514619410038","0.0434514619410038","86446","86446","86446","0.04771020635962486","0.04771020635962486","0.04771020635962486","86458","86458","86458","0.04940140247344971","0.04940140247344971","0.04940140247344971","86481","86481","86481","0.05251578241586685","0.05251578241586685","0.05251578241586685"
"44799","89634","89634","89634","0.04688047990202904","0.04688047990202904","0.04688047990202904","89634","89634","89634","0.04390481486916542","0.04390481486916542","0.04390481486916542","89634","89634","89634","0.04292729124426842","0.04292729124426842","0.04292729124426842","","","","","","","89634","89634","89634","0.04389231279492378","0.04389231279492378","0.04389231279492378","89634","89634","89634","0.04466494545340538","0.04466494545340538","0.04466494545340538","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46799","","","","","","","","","","","","","","","","","","","93642","93642","93642","0.04420999065041542","0.04420999065041542","0.04420999065041542","","","","","","","","","","","","","96732","96732","96732","0.14593827724456787","0.14593827724456787","0.14593827724456787","93642","93642","93642","0.04317042976617813","0.04317042976617813","0.04317042976617813","93912","93912","93912","0.07123731076717377","0.07123731076717377","0.07123731076717377","93642","93642","93642","0.046550896018743515","0.046550896018743515","0.046550896018743515","93642","93642","93642","0.04301879182457924","0.04301879182457924","0.04301879182457924","93642","93642","93642","0.04488484933972359","0.04488484933972359","0.04488484933972359","93642","93642","93642","0.04592566192150116","0.04592566192150116","0.04592566192150116","93650","93650","93650","0.04956331476569176","0.04956331476569176","0.04956331476569176","93662","93662","93662","0.053496990352869034","0.053496990352869034","0.053496990352869034","93687","93687","93687","0.05374949052929878","0.05374949052929878","0.05374949052929878"
"50399","","","","","","","","","","","","","","","","","","","100845","100845","100845","0.045487165451049805","0.045487165451049805","0.045487165451049805","","","","","","","","","","","","","104173","104173","104173","0.14700740575790405","0.14700740575790405","0.14700740575790405","100845","100845","100845","0.04209466651082039","0.04209466651082039","0.04209466651082039","101137","101137","101137","0.06879531592130661","0.06879531592130661","0.06879531592130661","100846","100846","100846","0.04540347680449486","0.04540347680449486","0.04540347680449486","100845","100845","100845","0.04508815333247185","0.04508815333247185","0.04508815333247185","100845","100845","100845","0.042674850672483444","0.042674850672483444","0.042674850672483444","100845","100845","100845","0.0433928407728672","0.0433928407728672","0.0433928407728672","100854","100854","100854","0.046526968479156494","0.046526968479156494","0.046526968479156494","100867","100867","100867","0.04793628677725792","0.04793628677725792","0.04793628677725792","100894","100894","100894","0.053648535162210464","0.053648535162210464","0.053648535162210464"
"51199","102439","102439","102439","0.043545201420784","0.043545201420784","0.043545201420784","102439","102439","102439","0.047419823706150055","0.047419823706150055","0.047419823706150055","102439","102439","102439","0.04251803085207939","0.04251803085207939","0.04251803085207939","","","","","","","102439","102439","102439","0.044567644596099854","0.044567644596099854","0.044567644596099854","102439","102439","102439","0.04323838651180267","0.04323838651180267","0.04323838651180267","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53999","","","","","","","","","","","","","","","","","","","108048","108048","108048","0.04230305179953575","0.04230305179953575","0.04230305179953575","","","","","","","","","","","","","111614","111614","111614","0.14632868766784668","0.14632868766784668","0.14632868766784668","108048","108048","108048","0.04308151453733444","0.04308151453733444","0.04308151453733444","108361","108361","108361","0.07147371023893356","0.07147371023893356","0.07147371023893356","108049","108049","108049","0.04571225121617317","0.04571225121617317","0.04571225121617317","108048","108048","108048","0.043206505477428436","0.043206505477428436","0.043206505477428436","108048","108048","108048","0.04434260353446007","0.04434260353446007","0.04434260353446007","108048","108048","108048","0.04081856459379196","0.04081856459379196","0.04081856459379196","108058","108058","108058","0.04677493870258331","0.04677493870258331","0.04677493870258331","108072","108072","108072","0.04844963923096657","0.04844963923096657","0.04844963923096657","108101","108101","108101","0.0522526316344738","0.0522526316344738","0.0522526316344738"
"57599","115244","115244","115244","0.045869048684835434","0.045869048684835434","0.045869048684835434","115244","115244","115244","0.044162701815366745","0.044162701815366745","0.044162701815366745","115244","115244","115244","0.04231627658009529","0.04231627658009529","0.04231627658009529","115251","115251","115251","0.04400027170777321","0.04400027170777321","0.04400027170777321","115244","115244","115244","0.0449179969727993","0.0449179969727993","0.0449179969727993","115244","115244","115244","0.04230703040957451","0.04230703040957451","0.04230703040957451","119055","119055","119055","0.14602415263652802","0.14602415263652802","0.14602415263652802","115251","115251","115251","0.04314028099179268","0.04314028099179268","0.04314028099179268","115585","115585","115585","0.0724005326628685","0.0724005326628685","0.0724005326628685","115252","115252","115252","0.04566706717014313","0.04566706717014313","0.04566706717014313","115251","115251","115251","0.04421590268611908","0.04421590268611908","0.04421590268611908","115251","115251","115251","0.041860323399305344","0.041860323399305344","0.041860323399305344","115251","115251","115251","0.042567260563373566","0.042567260563373566","0.042567260563373566","115262","115262","115262","0.04555923491716385","0.04555923491716385","0.04555923491716385","115277","115277","115277","0.049726177006959915","0.049726177006959915","0.049726177006959915","115308","115308","115308","0.050551820546388626","0.050551820546388626","0.050551820546388626"
"61199","","","","","","","","","","","","","","","","","","","122455","122455","122455","0.04412376508116722","0.04412376508116722","0.04412376508116722","","","","","","","","","","","","","126496","126496","126496","0.14536401629447937","0.14536401629447937","0.14536401629447937","122455","122455","122455","0.04374336451292038","0.04374336451292038","0.04374336451292038","122809","122809","122809","0.0707695409655571","0.0707695409655571","0.0707695409655571","122456","122456","122456","0.04586018621921539","0.04586018621921539","0.04586018621921539","122455","122455","122455","0.04486021026968956","0.04486021026968956","0.04486021026968956","122455","122455","122455","0.04266771301627159","0.04266771301627159","0.04266771301627159","122455","122455","122455","0.046842217445373535","0.046842217445373535","0.046842217445373535","122465","122465","122465","0.0472882054746151","0.0472882054746151","0.0472882054746151","122482","122482","122482","0.04653499647974968","0.04653499647974968","0.04653499647974968","122514","122514","122514","0.05103398859500885","0.05103398859500885","0.05103398859500885"
"63999","128049","128049","128049","0.04312442988157272","0.04312442988157272","0.04312442988157272","128049","128049","128049","0.04312131553888321","0.04312131553888321","0.04312131553888321","128049","128049","128049","0.04021824523806572","0.04021824523806572","0.04021824523806572","","","","","","","128049","128049","128049","0.04274492710828781","0.04274492710828781","0.04274492710828781","128049","128049","128049","0.04421576112508774","0.04421576112508774","0.04421576112508774","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64799","","","","","","","","","","","","","","","","","","","129658","129658","129658","0.04134243726730347","0.04134243726730347","0.04134243726730347","","","","","","","","","","","","","133937","133937","133937","0.14576710760593414","0.14576710760593414","0.14576710760593414","129658","129658","129658","0.04190512374043465","0.04190512374043465","0.04190512374043465","130033","130033","130033","0.071257084608078","0.071257084608078","0.071257084608078","129659","129659","129659","0.04979206621646881","0.04979206621646881","0.04979206621646881","129658","129658","129658","0.04267013072967529","0.04267013072967529","0.04267013072967529","129658","129658","129658","0.041771646589040756","0.041771646589040756","0.041771646589040756","129658","129658","129658","0.04125887528061867","0.04125887528061867","0.04125887528061867","129669","129669","129669","0.046213649213314056","0.046213649213314056","0.046213649213314056","129687","129687","129687","0.046638842672109604","0.046638842672109604","0.046638842672109604","129721","129721","129721","0.0492074079811573","0.0492074079811573","0.0492074079811573"
"68399","","","","","","","","","","","","","","","","","","","136861","136861","136861","0.04053821787238121","0.04053821787238121","0.04053821787238121","","","","","","","","","","","","","141378","141378","141378","0.146162748336792","0.146162748336792","0.146162748336792","136861","136861","136861","0.04250520095229149","0.04250520095229149","0.04250520095229149","137257","137257","137257","0.06874290108680725","0.06874290108680725","0.06874290108680725","136862","136862","136862","0.04375985637307167","0.04375985637307167","0.04375985637307167","136861","136861","136861","0.04093249887228012","0.04093249887228012","0.04093249887228012","136861","136861","136861","0.04004582390189171","0.04004582390189171","0.04004582390189171","136861","136861","136861","0.04298483207821846","0.04298483207821846","0.04298483207821846","136873","136873","136873","0.04465163126587868","0.04465163126587868","0.04465163126587868","136891","136891","136891","0.04801434278488159","0.04801434278488159","0.04801434278488159","136928","136928","136928","0.05390920862555504","0.05390920862555504","0.05390920862555504"
"70399","140854","140854","140854","0.04363667592406273","0.04363667592406273","0.04363667592406273","140854","140854","140854","0.039897371083498","0.039897371083498","0.039897371083498","140854","140854","140854","0.04075279086828232","0.04075279086828232","0.04075279086828232","","","","","","","140854","140854","140854","0.04064667969942093","0.04064667969942093","0.04064667969942093","140854","140854","140854","0.044759225100278854","0.044759225100278854","0.044759225100278854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
