sample_index,reaction_identifier,model,loss_function,hessian_method,reaction_delta_zpe_eV,dft_reaction_delta_zpe_eV,absolute_reaction_delta_zpe_error_eV
9,rxn3124,HIP,MAE,Direct prediction,-0.0979723111024093,-0.0981424302080211,0.0001701191056118
9,rxn3124,HIP,MAE+Sub,Direct prediction,-0.0988354893235901,-0.0981424302080211,0.0006930591155689
10,rxn3125,HIP,MSE,Direct prediction,-0.23050398055634,-0.2291409912674569,0.0013629892888831
10,rxn3125,HIP,MAE,Direct prediction,-0.2356481780978665,-0.2291409912674569,0.0065071868304096
10,rxn3125,HIP,MAE+Sub,Direct prediction,-0.2335650421625306,-0.2291409912674569,0.0044240508950736
11,rxn3126,HIP,MSE,Direct prediction,-0.0239629670193781,-0.0235759411313756,0.0003870258880025
11,rxn3126,HIP,MAE,Direct prediction,-0.0235806597412597,-0.0235759411313756,4.718609884157843e-06
11,rxn3126,HIP,MAE+Sub,Direct prediction,-0.0239756910776383,-0.0235759411313756,0.0003997499462626
12,rxn3127,HIP,MSE,Direct prediction,-0.2167413208777064,-0.2114737685518462,0.0052675523258602
12,rxn3127,HIP,MAE,Direct prediction,-0.2118986980450068,-0.2114737685518462,0.0004249294931606
12,rxn3127,HIP,MAE+Sub,Direct prediction,-0.213723007709929,-0.2114737685518462,0.0022492391580828
13,rxn9455,HIP,MSE,Direct prediction,-0.0097378477693521,-0.0098332949787456,9.544720939347327e-05
13,rxn9455,HIP,MAE,Direct prediction,-0.0090693367703931,-0.0098332949787456,0.0007639582083525
13,rxn9455,HIP,MAE+Sub,Direct prediction,-0.0110244481123285,-0.0098332949787456,0.0011911531335828
14,rxn2504,HIP,MSE,Direct prediction,-0.0071672522958707,-0.0067823379006872,0.0003849143951835
14,rxn2504,HIP,MAE,Direct prediction,-0.0073145385410744,-0.0067823379006872,0.0005322006403871
14,rxn2504,HIP,MAE+Sub,Direct prediction,-0.0077026943752849,-0.0067823379006872,0.0009203564745976
15,rxn2505,HIP,MSE,Direct prediction,-0.0061020701900198,-0.0067863671710104,0.0006842969809905
15,rxn2505,HIP,MAE,Direct prediction,-0.0073761792164308,-0.0067863671710104,0.0005898120454204
15,rxn2505,HIP,MAE+Sub,Direct prediction,-0.0076651756434005,-0.0067863671710104,0.00087880847239
16,rxn0033,HIP,MSE,Direct prediction,-0.0041304172444025,-0.0042599576517932,0.0001295404073906
16,rxn0033,HIP,MAE,Direct prediction,-0.0041490464118454,-0.0042599576517932,0.0001109112399477
16,rxn0033,HIP,MAE+Sub,Direct prediction,-0.0043909927889393,-0.0042599576517932,0.0001310351371461
17,rxn0034,HIP,MSE,Direct prediction,0.013739983667715,0.0140435141314205,0.0003035304637055
17,rxn0034,HIP,MAE,Direct prediction,0.0131499681159081,0.0140435141314205,0.0008935460155123
17,rxn0034,HIP,MAE+Sub,Direct prediction,0.0126962040979288,0.0140435141314205,0.0013473100334917
18,rxn0035,HIP,MSE,Direct prediction,-0.0875905493464452,-0.0899320576975077,0.0023415083510625
18,rxn0035,HIP,MAE,Direct prediction,-0.0895137195319777,-0.0899320576975077,0.00041833816553
18,rxn0035,HIP,MAE+Sub,Direct prediction,-0.0892763867460169,-0.0899320576975077,0.0006556709514908
19,rxn0036,HIP,MSE,Direct prediction,-0.1040679295768969,-0.104556745644611,0.0004888160677141
19,rxn0036,HIP,MAE,Direct prediction,-0.1031393212662754,-0.104556745644611,0.0014174243783355
19,rxn0036,HIP,MAE+Sub,Direct prediction,-0.1053755655057275,-0.104556745644611,0.0008188198611165
20,rxn0037,HIP,MSE,Direct prediction,-0.0250401970006564,-0.0251295322628455,8.933526218912746e-05
20,rxn0037,HIP,MAE,Direct prediction,-0.0247771856623502,-0.0251295322628455,0.0003523466004953
20,rxn0037,HIP,MAE+Sub,Direct prediction,-0.0281922880365952,-0.0251295322628455,0.0030627557737497
21,rxn0038,HIP,MSE,Direct prediction,0.0072212670106304,0.004934626697628,0.0022866403130024
21,rxn0038,HIP,MAE,Direct prediction,0.0040328821050432,0.004934626697628,0.0009017445925847
21,rxn0038,HIP,MAE+Sub,Direct prediction,0.0021368307525366,0.004934626697628,0.0027977959450913
22,rxn0039,HIP,MSE,Direct prediction,-0.0019548465440033,-0.005405176067466,0.0034503295234626
22,rxn0039,HIP,MAE,Direct prediction,-0.0045559592523494,-0.005405176067466,0.0008492168151166
22,rxn0039,HIP,MAE+Sub,Direct prediction,-0.0045917580877845,-0.005405176067466,0.0008134179796814
23,rxn0040,HIP,MSE,Direct prediction,-0.0076853326796078,-0.0089743831520303,0.0012890504724225
23,rxn0040,HIP,MAE,Direct prediction,-0.0072229133512964,-0.0089743831520303,0.0017514698007339
23,rxn0040,HIP,MAE+Sub,Direct prediction,-0.0084004891830158,-0.0089743831520303,0.0005738939690145
24,rxn0041,HIP,MSE,Direct prediction,0.0226451814282748,0.0203621216499287,0.002283059778346
24,rxn0041,HIP,MAE,Direct prediction,0.0217040462105675,0.0203621216499287,0.0013419245606387
24,rxn0041,HIP,MAE+Sub,Direct prediction,0.0219647707056149,0.0203621216499287,0.0016026490556861
25,rxn0131,HIP,MSE,Direct prediction,0.0112785134990547,0.0091645033528937,0.0021140101461609
25,rxn0131,HIP,MAE,Direct prediction,0.0095647349375549,0.0091645033528937,0.0004002315846611
25,rxn0131,HIP,MAE+Sub,Direct prediction,0.0092351008502138,0.0091645033528937,7.059749732007958e-05
26,rxn0132,HIP,MSE,Direct prediction,0.018069832893881,0.0188930568539702,0.0008232239600891
26,rxn0132,HIP,MAE,Direct prediction,0.0187817898779676,0.0188930568539702,0.0001112669760026
26,rxn0132,HIP,MAE+Sub,Direct prediction,0.0186654584473497,0.0188930568539702,0.0002275984066204
27,rxn0133,HIP,MSE,Direct prediction,-0.2150543285026462,-0.2062739269400895,0.0087804015625567
27,rxn0133,HIP,MAE,Direct prediction,-0.2113804811591628,-0.2062739269400895,0.0051065542190733
27,rxn0133,HIP,MAE+Sub,Direct prediction,-0.2084268376630138,-0.2062739269400895,0.0021529107229243
28,rxn0134,HIP,MSE,Direct prediction,-0.0987802626463598,-0.100493473530498,0.0017132108841382
28,rxn0134,HIP,MAE,Direct prediction,-0.0997252988305885,-0.100493473530498,0.0007681746999095
28,rxn0134,HIP,MAE+Sub,Direct prediction,-0.1043760975321301,-0.100493473530498,0.003882624001632
29,rxn0627,HIP,MSE,Direct prediction,0.004111183677149,0.0027536448362934,0.0013575388408555
29,rxn0627,HIP,MAE,Direct prediction,0.0037612443571561,0.0027536448362934,0.0010075995208627
29,rxn0627,HIP,MAE+Sub,Direct prediction,0.0039107629686983,0.0027536448362934,0.0011571181324048
30,rxn0628,HIP,MSE,Direct prediction,-0.0380458418033082,-0.0402503172305142,0.0022044754272059
30,rxn0628,HIP,MAE,Direct prediction,-0.0391306865100316,-0.0402503172305142,0.0011196307204826
30,rxn0628,HIP,MAE+Sub,Direct prediction,-0.0394571041010136,-0.0402503172305142,0.0007932131295005
31,rxn0629,HIP,MSE,Direct prediction,-0.1091995633290245,-0.1117191984707601,0.0025196351417355
31,rxn0629,HIP,MAE,Direct prediction,-0.1120737037533978,-0.1117191984707601,0.0003545052826376
31,rxn0629,HIP,MAE+Sub,Direct prediction,-0.1128275129708282,-0.1117191984707601,0.001108314500068
32,rxn0630,HIP,MSE,Direct prediction,-0.0479501253389256,-0.0470520722563239,0.0008980530826017
32,rxn0630,HIP,MAE,Direct prediction,-0.0481338279686052,-0.0470520722563239,0.0010817557122813
32,rxn0630,HIP,MAE+Sub,Direct prediction,-0.0486834464649348,-0.0470520722563239,0.0016313742086109
33,rxn0631,HIP,MSE,Direct prediction,-0.1371455716811565,-0.1401079315813715,0.002962359900215
33,rxn0631,HIP,MAE,Direct prediction,-0.140200708936018,-0.1401079315813715,9.277735464641168e-05
33,rxn0631,HIP,MAE+Sub,Direct prediction,-0.1409386482390955,-0.1401079315813715,0.0008307166577239
34,rxn0632,HIP,MSE,Direct prediction,-0.0717851149707193,-0.0692567999834818,0.0025283149872374
34,rxn0632,HIP,MAE,Direct prediction,-0.0701661764882768,-0.0692567999834818,0.0009093765047949
34,rxn0632,HIP,MAE+Sub,Direct prediction,-0.0722604637537429,-0.0692567999834818,0.003003663770261
35,rxn0633,HIP,MSE,Direct prediction,-0.041716553446264,-0.042779936357725,0.001063382911461
35,rxn0633,HIP,MAE,Direct prediction,-0.0423362397063806,-0.042779936357725,0.0004436966513443
35,rxn0633,HIP,MAE+Sub,Direct prediction,-0.0419712138907422,-0.042779936357725,0.0008087224669828
36,rxn0634,HIP,MSE,Direct prediction,-0.0427867926866727,-0.0438526014656703,0.0010658087789976
36,rxn0634,HIP,MAE,Direct prediction,-0.0436104738791458,-0.0438526014656703,0.0002421275865245
36,rxn0634,HIP,MAE+Sub,Direct prediction,-0.0426546101400631,-0.0438526014656703,0.0011979913256072
37,rxn0635,HIP,MSE,Direct prediction,-0.0662722908703474,-0.0667282631959671,0.0004559723256196
37,rxn0635,HIP,MAE,Direct prediction,-0.0678716600717401,-0.0667282631959671,0.001143396875773
37,rxn0635,HIP,MAE+Sub,Direct prediction,-0.0676280017686457,-0.0667282631959671,0.0008997385726785
38,rxn0636,HIP,MSE,Direct prediction,-0.0498979200643567,-0.054390082350757,0.0044921622864002
38,rxn0636,HIP,MAE,Direct prediction,-0.0510200135911516,-0.054390082350757,0.0033700687596054
38,rxn0636,HIP,MAE+Sub,Direct prediction,-0.0535905059373851,-0.054390082350757,0.0007995764133719
39,rxn1298,HIP,MSE,Direct prediction,-0.1861568540895324,-0.1870474016802199,0.0008905475906875
39,rxn1298,HIP,MAE,Direct prediction,-0.188694459731963,-0.1870474016802199,0.0016470580517431
39,rxn1298,HIP,MAE+Sub,Direct prediction,-0.190011500308147,-0.1870474016802199,0.0029640986279271
40,rxn1299,HIP,MSE,Direct prediction,-0.3392469437644769,-0.3373918968710332,0.0018550468934437
40,rxn1299,HIP,MAE,Direct prediction,-0.3402810104889386,-0.3373918968710332,0.0028891136179054
40,rxn1299,HIP,MAE+Sub,Direct prediction,-0.3406112609620226,-0.3373918968710332,0.0032193640909894
41,rxn1300,HIP,MSE,Direct prediction,-0.0190267200686906,-0.0161662104295525,0.002860509639138
41,rxn1300,HIP,MAE,Direct prediction,-0.0149001131844457,-0.0161662104295525,0.0012660972451068
41,rxn1300,HIP,MAE+Sub,Direct prediction,-0.0176019374090783,-0.0161662104295525,0.0014357269795257
42,rxn1301,HIP,MSE,Direct prediction,0.0210252349247777,0.0205696040208018,0.0004556309039758
42,rxn1301,HIP,MAE,Direct prediction,0.019992075114342,0.0205696040208018,0.0005775289064597
42,rxn1301,HIP,MAE+Sub,Direct prediction,0.0207874671322381,0.0205696040208018,0.0002178631114362
43,rxn1302,HIP,MSE,Direct prediction,-0.039920638921727,-0.0391801469692749,0.000740491952452
43,rxn1302,HIP,MAE,Direct prediction,-0.0389674437065514,-0.0391801469692749,0.0002127032627234
43,rxn1302,HIP,MAE+Sub,Direct prediction,-0.037715765193925,-0.0391801469692749,0.0014643817753499
44,rxn1303,HIP,MSE,Direct prediction,-0.0066725482147957,-0.0031273577617723,0.0035451904530234
44,rxn1303,HIP,MAE,Direct prediction,-0.0043095511575148,-0.0031273577617723,0.0011821933957425
44,rxn1303,HIP,MAE+Sub,Direct prediction,-0.0043788315443085,-0.0031273577617723,0.0012514737825362
45,rxn1304,HIP,MSE,Direct prediction,-0.0620802844614578,-0.0602262174997281,0.0018540669617297
45,rxn1304,HIP,MAE,Direct prediction,-0.0613557883138589,-0.0602262174997281,0.0011295708141307
45,rxn1304,HIP,MAE+Sub,Direct prediction,-0.0640158363119791,-0.0602262174997281,0.003789618812251
46,rxn1305,HIP,MSE,Direct prediction,-0.0040354670671831,-0.006609403256625,0.0025739361894419
46,rxn1305,HIP,MAE,Direct prediction,-0.0009351333720837,-0.006609403256625,0.0056742698845413
46,rxn1305,HIP,MAE+Sub,Direct prediction,-0.0025462264291085,-0.006609403256625,0.0040631768275165
