model,loss_function,hessian_method,sample_index,number_of_atoms,dft_negative_mode_count,predicted_negative_mode_count,exact_negative_mode_count_match,dft_stationary_point_class,predicted_stationary_point_class,three_class_match,dft_is_first_order_transition_state,predicted_is_first_order_transition_state
HIP,MSE,Direct prediction,27,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,28,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,29,14,2,3,False,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,30,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,31,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,32,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,33,16,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,34,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,35,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,36,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,37,11,2,3,False,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,38,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,39,11,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,40,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,41,10,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,42,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,43,10,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,44,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,45,19,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,46,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,47,12,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,48,17,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,49,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,50,17,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,51,13,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,52,11,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,53,19,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,54,19,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,55,17,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,56,17,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,57,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,58,17,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,59,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,60,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,61,15,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,62,8,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,63,19,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,64,17,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,65,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,66,16,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,67,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,68,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,69,15,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,70,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,71,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,72,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,73,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,74,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,75,13,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,76,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,77,9,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,78,11,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,79,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,80,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,81,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,82,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,83,17,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,84,13,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,85,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,86,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,87,17,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,88,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,89,10,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,90,17,4,4,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,91,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,92,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,93,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,94,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,95,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,96,16,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,97,10,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,98,17,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,99,9,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,100,10,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,101,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,102,15,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,103,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,104,9,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,105,10,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,106,11,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,107,10,1,2,False,Transition state,Higher-order saddle point,False,True,False
HIP,MSE,Direct prediction,108,13,3,2,False,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,109,17,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,110,7,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,111,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,112,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,113,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,114,11,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,115,15,2,1,False,Higher-order saddle point,Transition state,False,False,True
HIP,MSE,Direct prediction,116,13,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,117,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,118,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,119,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,120,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,121,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,122,16,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,123,11,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,124,15,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,125,13,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,126,10,1,0,False,Transition state,Minimum,False,True,False
HIP,MSE,Direct prediction,127,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,128,10,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,129,18,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,130,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,131,9,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,132,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,133,13,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,134,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,135,18,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,136,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,137,9,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,138,15,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,139,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,140,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,141,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,142,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,143,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,144,21,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,145,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,146,11,1,2,False,Transition state,Higher-order saddle point,False,True,False
HIP,MSE,Direct prediction,147,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,148,12,1,0,False,Transition state,Minimum,False,True,False
HIP,MSE,Direct prediction,149,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,150,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,151,19,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,152,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,153,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,154,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,155,9,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,156,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,157,16,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,158,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,159,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,160,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,161,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,162,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,163,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,164,13,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,165,14,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,166,11,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,167,17,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,168,9,2,3,False,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,169,13,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,170,11,1,0,False,Transition state,Minimum,False,True,False
HIP,MSE,Direct prediction,171,11,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,172,13,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,173,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,174,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,175,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,176,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,177,17,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,178,8,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,179,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,180,11,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,181,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,182,9,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,183,11,1,2,False,Transition state,Higher-order saddle point,False,True,False
HIP,MSE,Direct prediction,184,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,185,18,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,186,6,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,187,19,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,188,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,189,11,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,190,11,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,191,14,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,192,11,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,193,15,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,194,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,195,16,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,196,16,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,197,19,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,198,11,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,199,12,1,0,False,Transition state,Minimum,False,True,False
HIP,MSE,Direct prediction,200,17,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,201,17,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,202,5,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,203,17,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,204,10,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,205,15,1,2,False,Transition state,Higher-order saddle point,False,True,False
HIP,MSE,Direct prediction,206,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,207,10,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,208,10,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,209,14,2,1,False,Higher-order saddle point,Transition state,False,False,True
HIP,MSE,Direct prediction,210,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,211,15,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,212,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,213,15,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,214,17,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,215,10,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,216,10,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,217,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,218,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,219,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,220,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,221,16,2,3,False,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,222,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,223,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,224,14,3,1,False,Higher-order saddle point,Transition state,False,False,True
HIP,MSE,Direct prediction,225,19,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,226,11,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,227,12,2,1,False,Higher-order saddle point,Transition state,False,False,True
HIP,MSE,Direct prediction,228,8,2,1,False,Higher-order saddle point,Transition state,False,False,True
HIP,MSE,Direct prediction,229,14,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,230,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,231,11,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,232,13,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,233,17,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,234,16,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,235,14,1,0,False,Transition state,Minimum,False,True,False
HIP,MSE,Direct prediction,236,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,237,14,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,238,11,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,239,14,4,2,False,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,240,11,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,241,8,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,242,9,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,243,11,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,244,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,245,11,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,246,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,247,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,248,16,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,249,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,250,17,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,251,14,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,252,11,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,253,19,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,254,16,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,255,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,256,15,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,257,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,258,11,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,259,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,260,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,261,13,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,262,19,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,263,12,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,264,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,265,12,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,266,15,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,267,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,268,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,269,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,270,12,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,271,18,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,272,9,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,273,8,1,0,False,Transition state,Minimum,False,True,False
HIP,MSE,Direct prediction,274,18,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,275,10,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,276,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,277,13,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,278,17,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,279,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,280,18,1,0,False,Transition state,Minimum,False,True,False
HIP,MSE,Direct prediction,281,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,282,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,283,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,284,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,285,17,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,286,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,287,10,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,288,13,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,289,12,1,2,False,Transition state,Higher-order saddle point,False,True,False
HIP,MSE,Direct prediction,290,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,291,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,292,17,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,293,12,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,294,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,295,5,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,296,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,297,15,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,298,13,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,299,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,300,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,301,17,2,1,False,Higher-order saddle point,Transition state,False,False,True
HIP,MSE,Direct prediction,302,12,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,303,11,1,0,False,Transition state,Minimum,False,True,False
HIP,MSE,Direct prediction,304,18,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,305,14,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,306,16,4,4,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,307,15,3,3,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,308,18,1,2,False,Transition state,Higher-order saddle point,False,True,False
HIP,MSE,Direct prediction,309,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,310,11,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,311,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,312,9,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,313,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,314,13,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,315,14,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,316,14,3,2,False,Higher-order saddle point,Higher-order saddle point,True,False,False
HIP,MSE,Direct prediction,317,9,0,0,True,Minimum,Minimum,True,False,False
HIP,MSE,Direct prediction,318,17,0,1,False,Minimum,Transition state,False,False,True
HIP,MSE,Direct prediction,319,10,1,1,True,Transition state,Transition state,True,True,True
HIP,MSE,Direct prediction,320,15,0,0,True,Minimum,Minimum,True,False,False
