sample_idx,natoms,energy_error,forces_error,hessian_error,hessian_mre,asymmetry_error,true_asymmetry_error,eigval_mae,eigval1_mae,eigval2_mae,eigvec1_mae,eigvec2_mae,eigvec1_cos,eigvec2_cos,time,memory,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_mae_eckart,eigvec2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart
10,18,8896.40625,0.0396950617432594,0.042668305337429,0.8024039268493652,0.0,1.6238285752478987e-05,0.1171318143606185,0.0674759149551391,0.020032525062561,0.0153686376288533,0.0298413708806037,0.9876824617385864,0.9646384716033936,41.30204772949219,635.506688,3,0,0,0,1,3,0,0,0,1,1,0.0329,0.0301,0.0721,0.1628,0.0545,0.7986,0.7986
11,16,12356.2939453125,0.2189841121435165,0.3538938164710998,1.5876857042312622,0.0,0.0001502098311902,1.1712703704833984,35.382110595703125,0.1449382901191711,0.1565345078706741,0.1290884315967559,0.9897714257240297,0.2107077091932296,38.88755035400391,600.4352,3,0,0,0,1,3,0,0,0,1,1,0.141,2.9868,0.1514,0.219,0.1491,0.9822,0.127
12,14,9737.0732421875,0.0361205674707889,0.0778748467564582,0.7472701072692871,0.0,6.798732647439465e-05,0.1808183044195175,1.9927148818969729,0.1337237358093261,0.2225115746259689,0.17848901450634,0.9981250166893004,0.9812094569206238,37.54598236083984,565.063168,2,0,0,1,0,2,0,0,1,0,1,0.0455,0.2614,0.0106,0.0088,0.0222,0.9971,0.9836
13,12,8231.810546875,0.0185166355222463,0.0372444279491901,1.805042028427124,0.0,4.218440517433919e-05,0.0864540562033653,0.0487167239189147,0.002601534128189,0.2636292278766632,0.053817231208086,0.9525755643844604,0.926186740398407,40.07001495361328,531.289088,3,0,0,0,1,3,0,0,0,1,1,0.0204,0.005,0.0217,0.0391,0.1427,0.9648,0.2857
14,21,10427.2470703125,0.0377212353050708,0.0434138067066669,2.713131904602051,0.0,8.61528951645596e-06,0.110170230269432,0.0402000546455383,0.1935994327068328,0.1347427070140838,0.1212819516658783,0.1772191673517227,0.0286421701312065,46.302207946777344,682.969088,2,0,0,1,0,2,0,0,1,0,1,0.0268,0.0276,0.0079,0.152,0.0366,0.9928,0.9221
15,17,11712.3291015625,0.1378352344036102,0.1096487790346145,3.9859795570373535,0.0,5.1103110308758914e-05,0.3585048019886017,0.257757693529129,0.2980766892433166,0.1413347423076629,0.1494549959897995,0.1433873176574707,0.3007464408874511,40.43564987182617,618.884096,4,0,0,0,1,3,0,0,0,1,0,0.0721,0.0024,0.0064,0.0943,0.1011,0.5981,0.6231
16,20,12884.361328125,0.1544775068759918,0.1299044042825698,37.39985275268555,0.0,2.2850521418149583e-05,0.5205847024917603,1.2724542617797852,1.1327106952667236,0.064948171377182,0.154858186841011,0.7453444004058838,0.2416382879018783,41.831424713134766,668.125696,6,0,0,0,1,6,0,0,0,1,1,0.1313,0.465,0.1927,0.0426,0.124,0.9066,0.2118
17,27,11998.4130859375,0.0398141257464885,0.0819940567016601,77.7523422241211,0.0,9.08245419850573e-06,0.5899379849433899,5.744682312011719,1.536874771118164,0.1070370003581047,0.1250215172767639,0.0122593995183706,0.1883869618177414,49.10899353027344,787.516928,5,0,0,0,1,6,0,0,0,1,0,0.0998,0.3216,0.2629,0.0878,0.1042,0.4034,0.0542
18,23,11471.447265625,0.0393123440444469,0.0345566347241401,4.727783679962158,0.0,1.2137914382037708e-05,0.1174341589212417,0.240304946899414,0.3884406387805938,0.0163582041859626,0.1226771548390388,0.9837027788162231,0.1232958957552909,60.10572814941406,723.205632,5,0,0,0,1,4,0,0,0,1,0,0.0299,0.0331,0.0432,0.0158,0.0207,0.9854,0.975
19,22,14495.375,0.0174350403249263,0.0553099699318409,9.40554904937744,0.0,3.070354796363972e-05,0.3249056339263916,2.641575336456299,1.1315652132034302,0.1042663902044296,0.1080879569053649,0.3427828550338745,0.2886720597743988,58.70383834838867,704.500736,3,0,0,0,1,4,0,0,0,1,0,0.1285,0.0968,0.0707,0.1801,0.177,0.8773,0.6225
20,18,8792.8173828125,0.0256934612989425,0.0425447970628738,1.237077236175537,0.0,1.572149085404817e-05,0.0922878831624984,0.0396811664104461,0.1195012331008911,0.0249486695975065,0.1846505403518676,0.9694219827651978,0.4775993824005127,56.36422348022461,637.576704,2,0,0,1,0,2,0,0,1,0,1,0.0299,0.0112,0.0055,0.0214,0.022,0.9811,0.977
21,16,9872.916015625,0.1057814955711364,0.1204210817813873,3.9527587890625,0.0,0.0001493035233579,0.52919602394104,2.6459288597106934,0.4219624400138855,0.1355805099010467,0.1652909517288208,0.915007710456848,0.8623884916305542,47.48316955566406,600.424448,6,0,0,0,1,7,0,0,0,1,0,0.0746,0.2401,0.0647,0.1386,0.1078,0.9769,0.5359
22,14,12889.0654296875,0.0302153341472148,0.0533281676471233,1.0947036743164062,0.0,7.61206028982997e-05,0.091258630156517,0.1071525961160659,0.1430472582578659,0.1909413188695907,0.2035886645317077,0.513148844242096,0.4069287478923797,39.7393913269043,565.042688,0,1,0,0,0,0,0,1,0,0,1,0.0132,0.0079,0.0005,0.0053,0.0038,0.999,0.9996
23,21,12344.84375,0.0213723722845315,0.0262950435280799,1.6314533948898315,0.0,1.4226348866941407e-05,0.0846329256892204,0.1464323699474334,0.0404823496937751,0.1600285917520523,0.1063794866204261,0.1468651294708252,0.3057872354984283,43.054080963134766,683.467264,2,0,0,1,0,2,0,0,1,0,1,0.0202,0.0052,0.0017,0.0084,0.0659,0.9954,0.7534
24,16,8759.744140625,0.0133146485313773,0.0216620564460754,90.9188003540039,0.0,2.9000919312238693e-05,0.0666385293006897,0.0334401130676269,0.001500129699707,0.0060366382822394,0.1742694675922393,0.9975467324256896,0.9959430694580078,40.44585418701172,602.105856,3,0,0,0,1,4,0,0,0,1,0,0.0195,0.0098,0.0039,0.0099,0.0108,0.9952,0.9952
25,25,11400.185546875,0.0152534963563084,0.0328017175197601,18.689191818237305,0.0,1.2798864190699533e-05,0.1634046286344528,1.4518723487854004,0.6977568864822388,0.1309539377689361,0.114507220685482,0.1137450486421585,0.076063185930252,49.72032165527344,752.262656,5,0,0,0,1,6,0,0,0,1,0,0.0383,0.0586,0.0144,0.091,0.1355,0.4041,0.5974
26,23,10564.7919921875,0.0069125136360526,0.0119917737320065,1.001882553100586,0.0,1.0088457202073188e-05,0.0255001634359359,0.0255166292190551,0.013693481683731,0.0085018975660204,0.0208731275051832,0.9955999851226808,0.978623867034912,60.20780944824219,722.679808,2,0,0,1,0,2,0,0,1,0,1,0.0087,0.0048,0.0024,0.0086,0.0084,0.9965,0.9961
27,7,5556.61474609375,0.0628534853458404,0.1884080022573471,0.3831317722797394,0.0,0.0003042869793716,0.2523978650569916,0.0079540014266967,0.1613252460956573,0.3617823421955108,0.3446022272109985,0.9419461488723756,0.8867485523223877,51.31059265136719,449.963008,1,0,1,0,0,1,1,0,0,0,1,0.075,0.0366,0.0527,0.0203,0.4106,0.9944,0.9944
28,17,7860.9404296875,0.0210432354360818,0.0183152630925178,1.0745031833648682,0.0,5.621745003736578e-06,0.0738811716437339,0.0161235481500625,0.0067406818270683,0.0239491332322359,0.1992369145154953,0.9784228205680848,0.9120110273361206,48.56729507446289,614.63552,1,0,1,0,0,2,0,0,1,0,0,0.0124,0.0163,0.0222,0.1761,0.2122,0.9904,0.986
29,19,9827.626953125,0.048862274736166,0.0521343164145946,2.379265785217285,0.0,2.5061377527890727e-05,0.1530865132808685,0.7006932497024536,0.2461470663547516,0.0225807949900627,0.1103036105632782,0.9650151133537292,0.4856556057929992,41.46995162963867,650.35008,4,0,0,0,1,4,0,0,0,1,1,0.04,0.0201,0.0357,0.1826,0.1993,0.9847,0.7763
30,20,10864.416015625,0.0168334376066923,0.0506207793951034,9.05909538269043,0.0,1.71458232216537e-05,0.3731482326984405,4.378212928771973,0.397398829460144,0.0980325266718864,0.124643862247467,0.0392933264374733,0.0697265267372131,43.60704040527344,668.885504,6,0,0,0,1,6,0,0,0,1,1,0.0586,0.0195,0.0786,0.121,0.0922,0.7349,0.5103
31,15,9299.8369140625,0.0949644297361373,0.1081218793988227,2.2590317726135254,0.0,4.315812839195132e-05,0.4778353571891784,5.568914413452148,0.1393764019012451,0.0117714302614331,0.135302647948265,0.9924339652061462,0.6017677783966064,38.59987258911133,583.095296,5,0,0,0,1,4,0,0,0,1,0,0.0606,0.3952,0.029,0.1671,0.0697,0.9926,0.7646
32,15,8392.62890625,0.0300092604011297,0.0926139205694198,3.287510633468628,0.0,5.117513501318172e-05,0.319756269454956,6.1617279052734375,0.4281306862831116,0.0070709851570427,0.1535818874835968,0.9978456497192384,0.0638652816414833,37.45568084716797,581.59872,2,0,0,1,0,1,1,0,0,0,0,0.1134,2.3525,0.0509,0.0085,0.0768,0.9972,0.8312
33,17,10908.744140625,0.0678101778030395,0.0690608769655227,42.43567657470703,0.0,3.147270035697147e-05,0.1621032506227493,0.0699813365936279,0.0399348735809326,0.0203618854284286,0.0320056304335594,0.9831644296646118,0.9628152251243592,40.61577606201172,616.2688,3,0,0,0,1,4,0,0,0,1,0,0.0295,0.0049,0.0203,0.022,0.0245,0.9808,0.9746
34,23,10460.009765625,0.0405779965221881,0.0611998289823532,34.03936004638672,0.0,1.225403138960246e-05,0.1492791473865509,1.0851163864135742,0.1176077425479888,0.1538990885019302,0.1257073581218719,0.9852733612060548,0.2939637303352356,46.653438568115234,719.45984,5,0,0,0,1,5,0,0,0,1,1,0.0543,0.1693,0.0069,0.052,0.1357,0.8052,0.7528
35,19,10942.1982421875,0.0303243771195411,0.0412341579794883,5.450639724731445,0.0,2.0472260075621307e-05,0.1233760640025138,0.8708819150924683,0.1918259859085083,0.188455656170845,0.1783402413129806,0.9495126008987428,0.8363445997238159,56.65689468383789,652.967424,4,0,0,0,1,5,0,0,0,1,0,0.0247,0.0427,0.0526,0.184,0.1815,0.9738,0.9768
36,16,11346.8525390625,0.0075389533303678,0.0167269855737686,1.365632176399231,0.0,3.6251589335734025e-05,0.0531453713774681,0.0201529264450073,0.0392810106277465,0.0132656060159206,0.0190076194703578,0.9921383857727052,0.9838732481002808,48.57561492919922,600.710656,3,0,0,0,1,2,0,0,1,0,0,0.0182,0.0001,0.0007,0.0046,0.012,0.9993,0.9947
37,17,10344.30859375,0.0096935601904988,0.0181939769536256,1.1575202941894531,0.0,2.499067886674311e-05,0.0468537397682666,0.013724148273468,0.0279950276017189,0.01585453748703,0.2087141424417495,0.9894856214523317,0.9449095726013184,42.28607940673828,616.573952,2,0,0,1,0,2,0,0,1,0,1,0.0198,0.0015,0.0006,0.1581,0.2191,0.9995,0.9987
38,22,13379.275390625,0.0707743689417839,0.0967606157064437,4.400948524475098,0.0,5.692865306627937e-05,0.2775931656360626,5.250393867492676,0.6188048720359802,0.0155393471941351,0.0612710639834404,0.9797863960266112,0.7879810333251953,44.73958587646485,701.668864,3,0,0,0,1,3,0,0,0,1,1,0.0792,1.2385,0.0706,0.0261,0.1705,0.9458,0.5465
39,12,9242.7490234375,0.0802670046687126,0.0960325971245765,0.6390715837478638,0.0,4.054956662002951e-05,0.2892169058322906,0.0791419744491577,0.1077565252780914,0.2059244811534881,0.2031177729368209,0.2872255742549896,0.1477333903312683,51.54723358154297,534.345728,1,0,1,0,0,0,0,1,0,0,0,0.0381,0.0118,0.0233,0.1307,0.2069,0.4062,0.4189
40,16,8862.994140625,0.0292294099926948,0.0590520985424518,8.409000396728516,0.0,3.829591878456995e-05,0.200901061296463,0.0901284217834472,1.0002045631408691,0.0125033687800168,0.1725987792015075,0.9916879534721376,0.0511692389845848,49.119232177734375,598.678016,5,0,0,0,1,4,0,0,0,1,0,0.0515,0.0092,0.0234,0.0204,0.0359,0.982,0.954
41,26,12539.84765625,0.0364195443689823,0.0397435575723648,5.127576351165772,0.0,1.3252401004137935e-05,0.1703294217586517,0.3940062522888183,0.5060475468635559,0.0092132538557052,0.0775048956274986,0.993419110774994,0.3890278339385986,49.1223030090332,768.914944,7,0,0,0,1,8,0,0,0,1,0,0.061,0.3529,0.0563,0.1432,0.049,0.9929,0.8442
42,25,11505.6083984375,0.0053992988541722,0.0171085707843303,56.26424407958984,0.0,5.8191485550196376e-06,0.1166859194636344,1.1614025831222534,0.1716260462999344,0.1217676848173141,0.1036656349897384,0.0775049552321434,0.2220057845115661,62.2737922668457,755.969024,4,0,0,0,1,4,0,0,0,1,1,0.0351,0.012,0.0444,0.0148,0.1298,0.9817,0.7033
43,19,8355.0,0.2555990219116211,0.1485965996980667,4.654867649078369,0.0,2.3985770894796588e-05,0.3656799495220184,0.2477992475032806,0.0126948058605194,0.0867049992084503,0.1231328845024108,0.6153189539909363,0.1610781997442245,56.45004653930664,653.413888,4,0,0,0,1,4,0,0,0,1,1,0.2091,0.1096,0.1627,0.1694,0.1148,0.3077,0.3108
44,19,9828.7470703125,0.0149539802223443,0.0227125361561775,7.510091304779053,0.0,1.5179187357716728e-05,0.0509694926440715,0.142444759607315,0.1349584460258484,0.1065034642815589,0.162707582116127,0.4736135900020599,0.0457964241504669,50.661407470703125,650.84928,4,0,0,0,1,4,0,0,0,1,1,0.0286,0.0243,0.0046,0.1463,0.0451,0.8786,0.8988
45,21,9861.6845703125,0.0116194626316428,0.0376050472259521,14.01777172088623,0.0,7.989588993950747e-06,0.2502747178077698,2.078848123550415,0.357704222202301,0.1287217289209365,0.1081274300813674,0.0800789594650268,0.1756502985954284,45.676544189453125,684.870144,2,0,0,1,0,4,0,0,0,1,0,0.0496,0.1642,0.0606,0.1219,0.1133,0.2071,0.0648
46,16,10232.2216796875,0.0655187666416168,0.0739261209964752,1.0298465490341189,0.0,8.665103086968884e-05,0.1676376312971115,0.7674100399017334,0.1346319913864135,0.0391768664121627,0.0527366027235984,0.8624489307403564,0.8373170495033264,40.181758880615234,601.935872,4,0,0,0,1,4,0,0,0,1,1,0.0369,0.4138,0.0006,0.153,0.0293,0.9927,0.9674
47,15,8289.384765625,0.0640479177236557,0.0843112096190452,1.4328889846801758,0.0,3.0217082894523628e-05,0.177517220377922,1.2835674285888672,0.1210175454616546,0.0357346273958683,0.1717532128095626,0.953341007232666,0.0447400510311126,39.16185760498047,581.962752,3,0,0,0,1,2,0,0,1,0,0,0.0359,0.0841,0.0451,0.1983,0.1839,0.9667,0.2351
48,14,11313.1064453125,0.0189038030803203,0.0262860022485256,1.3071491718292236,0.0,0.0001033828375511,0.0700266361236572,0.0248441398143768,0.0300405323505401,0.1117128357291221,0.2217345684766769,0.5884912014007568,0.6545991897583008,38.84134292602539,564.767744,5,0,0,0,1,5,0,0,0,1,1,0.0306,0.0622,0.0139,0.2227,0.26,0.9932,0.9488
49,14,9275.4189453125,0.0439600832760334,0.0531415045261383,1.050214767456055,0.0,2.370298352616373e-05,0.1707657724618911,0.0250272750854492,0.0682272911071777,0.0292528364807367,0.05021208897233,0.9667803049087524,0.9024542570114136,40.800254821777344,564.354048,6,0,0,0,1,6,0,0,0,1,1,0.0403,0.0212,0.0522,0.0064,0.0656,0.9985,0.7662
50,10,6622.66162109375,0.0216596089303493,0.0517176240682601,1.089256763458252,0.0,9.621726348996162e-05,0.1719119548797607,0.101954698562622,0.0417129397392272,0.03584910556674,0.057341281324625,0.9706687927246094,0.9196877479553224,38.86284637451172,496.311808,2,0,0,1,0,2,0,0,1,0,1,0.0311,0.0091,0.0078,0.0222,0.2983,0.9915,0.9937
51,24,11941.0654296875,0.0195590946823358,0.0268364362418651,4.922328472137451,0.0,1.1769180673582014e-05,0.0962748676538467,0.2570466697216034,0.2177215367555618,0.1170954704284668,0.1255800276994705,0.2488734126091003,0.0030458569526672,48.11654281616211,735.466496,4,0,0,0,1,5,0,0,0,1,0,0.035,0.0918,0.0064,0.0603,0.1709,0.7533,0.6712
52,22,11002.7041015625,0.0049413219094276,0.0074990186840295,1.3682763576507568,0.0,1.6260717529803514e-05,0.0313450023531913,0.0164562463760375,0.0084462910890579,0.1804952025413513,0.1582126021385193,0.9832252860069276,0.6828665137290955,58.97004699707031,704.57344,4,0,0,0,1,4,0,0,0,1,1,0.0099,0.0096,0.0026,0.0061,0.0164,0.9967,0.9864
53,11,8566.4267578125,0.2903118729591369,0.2793063521385193,1.172925591468811,0.0,0.0002777412591967,0.5505909323692322,3.430021286010742,0.6259138584136963,0.1862341612577438,0.1123010143637657,0.9899776577949524,0.5996125936508179,50.86921691894531,516.619264,2,0,0,1,0,4,0,0,0,1,0,0.1803,0.4403,0.1369,0.286,0.0716,0.9934,0.8529
54,17,9898.8369140625,0.0462110601365566,0.0678072199225425,2.7210288047790527,0.0,2.5521168936393224e-05,0.1814441531896591,0.6798219680786133,0.1704344600439071,0.1913394182920456,0.1189276576042175,0.9934662580490112,0.3345630764961242,49.91212844848633,615.314432,4,0,0,0,1,4,0,0,0,1,1,0.031,0.0609,0.0071,0.1934,0.0605,0.9935,0.7645
55,20,10967.7724609375,0.0195530336350202,0.0297621916979551,1.4101502895355225,0.0,1.6418729501310736e-05,0.0933742076158523,0.3053803443908691,0.1601542532444,0.0393080823123455,0.0495000220835208,0.9324120283126832,0.893869936466217,42.16934585571289,668.196352,2,0,0,1,0,2,0,0,1,0,1,0.0206,0.0359,0.0022,0.0205,0.0396,0.9798,0.9177
56,14,8161.17041015625,0.0136484820395708,0.0266558676958084,0.748957633972168,0.0,1.4434055628953502e-05,0.0617203935980796,0.0195375978946685,0.0498040467500686,0.0100708892568945,0.2003684788942337,0.9967784881591796,0.0111672542989254,40.58531188964844,566.405632,2,0,0,1,0,2,0,0,1,0,1,0.015,0.0166,0.0117,0.0025,0.0095,0.9998,0.9962
57,17,9437.4814453125,0.0062212469056248,0.0097329393029212,36.394344329833984,0.0,1.7283055058214813e-05,0.0277400705963373,0.0035480558872222,0.0169817805290222,0.023922748863697,0.0277338046580553,0.9757353067398072,0.9602217674255372,39.936161041259766,616.034304,3,0,0,0,1,3,0,0,0,1,1,0.0083,0.0058,0.0067,0.0113,0.0178,0.9941,0.9884
58,22,12473.642578125,0.0138651439920067,0.0208151526749134,4.177753925323486,0.0,1.8795601135934703e-05,0.0760647803544998,0.0836321264505386,0.025054857134819,0.1508728861808776,0.1611891388893127,0.2459824681282043,0.2005511075258255,44.7723503112793,701.640192,3,0,0,0,1,2,0,0,1,0,0,0.0198,0.0024,0.024,0.0254,0.0374,0.942,0.9118
59,14,8829.908203125,0.0346563979983329,0.0829839408397674,1.342790603637695,0.0,0.000167090416653,0.1231202557682991,0.0006752014160156,0.0066739916801452,0.1845333278179168,0.1892808973789215,0.9870097637176514,0.0910412594676017,53.84089660644531,568.212992,4,0,0,0,1,3,0,0,0,1,0,0.0381,0.2135,0.0076,0.0212,0.1783,0.9862,0.9946
60,13,9370.3212890625,0.009995718486607,0.0199516098946332,0.8146202564239502,0.0,4.38363385910634e-05,0.0456359349191188,0.0045443773269653,0.0003437399864196,0.2177770137786865,0.2107860445976257,0.8349562883377075,0.576854944229126,47.99795150756836,548.99968,0,1,0,0,0,0,0,1,0,0,1,0.0072,0.0007,0.0015,0.1991,0.255,0.9988,0.9992
61,10,7736.86376953125,0.0083855371922254,0.0230226032435894,2.280663251876831,0.0,0.0001173414784716,0.0454327687621116,0.0022750496864318,0.0354859232902526,0.0108964461833238,0.0204026270657777,0.9972646832466124,0.990975856781006,34.9378547668457,496.047104,2,0,0,1,0,2,0,0,1,0,1,0.0132,0.0017,0.0051,0.0025,0.0036,0.9998,0.9997
62,13,11184.9794921875,0.0309643540531396,0.0623261034488678,2.051043748855591,0.0,3.376193853910081e-05,0.1882447898387909,0.3550431728363037,0.0304708927869796,0.0107917981222271,0.2326565533876419,0.9956556558609008,0.5838982462882996,35.89427185058594,548.107264,3,0,0,0,1,3,0,0,0,1,1,0.0534,0.149,0.0147,0.0073,0.0189,0.9978,0.9896
63,13,8701.5771484375,0.0620205216109752,0.0845947936177253,0.9777888059616088,0.0,9.298638178734107e-05,0.2565182447433471,0.4901549816131592,0.1993229836225509,0.0154898408800363,0.08374685049057,0.9929447174072266,0.7223353385925293,36.466400146484375,548.735488,1,0,1,0,0,2,0,0,1,0,0,0.0449,0.0726,0.1034,0.2084,0.1051,0.9955,0.6212
64,11,10244.46484375,0.1860762238502502,0.1771280914545059,1.4186798334121704,0.0,0.0004399764584377,0.2892440557479858,0.3692667484283447,0.3438369631767273,0.1872197985649109,0.2267898321151733,0.8923265933990479,0.858934760093689,35.311614990234375,513.202176,2,0,0,1,0,2,0,0,1,0,1,0.0597,0.0119,0.0365,0.0676,0.0956,0.8709,0.803
65,17,10908.8935546875,0.0601985119283199,0.0703095346689224,1.62336266040802,0.0,2.9286733479239047e-05,0.217401385307312,0.872833251953125,0.0988392829895019,0.0081888195127248,0.0400159806013107,0.9965020418167114,0.9219814538955688,39.577598571777344,615.274496,4,0,0,0,1,4,0,0,0,1,1,0.0376,0.0272,0.0257,0.0141,0.1203,0.9921,0.9936
66,17,9794.958984375,0.0606553293764591,0.0753905624151229,1.8022046089172363,0.0,3.830213609035127e-05,0.163340613245964,0.6420125961303711,0.2006036937236786,0.0092299720272421,0.059790764003992,0.9947789907455444,0.8441599607467651,39.38518524169922,616.888832,2,0,0,1,0,3,0,0,0,1,0,0.0386,0.2443,0.0312,0.0129,0.1519,0.9931,0.9947
67,17,9333.5927734375,0.0340245328843593,0.0284683834761381,1.154831886291504,0.0,3.2709489460103214e-05,0.076383464038372,0.0475169420242309,0.0084306299686431,0.0186782032251358,0.0346096158027648,0.98715341091156,0.9485086798667908,39.17852783203125,616.841216,3,0,0,0,1,3,0,0,0,1,1,0.0259,0.0066,0.0059,0.0113,0.013,0.9945,0.994
68,14,9275.0087890625,0.0531908459961414,0.0530533492565155,1.329136848449707,0.0,2.0533716451609507e-05,0.166866198182106,0.378882884979248,0.003455251455307,0.1832912862300872,0.2401377409696579,0.9902184009552002,0.9712389707565308,38.1214714050293,565.379584,3,0,0,0,1,4,0,0,0,1,0,0.0499,0.0217,0.0016,0.0146,0.0686,0.9924,0.7766
69,19,11953.6044921875,0.0258420277386903,0.0331442952156066,10.295552253723145,0.0,1.8445885871187784e-05,0.1274679154157638,0.0019867420196533,0.4443044662475586,0.059090256690979,0.1364357620477676,0.8287367820739746,0.0136256217956542,41.66665649414063,649.414144,5,0,0,0,1,5,0,0,0,1,1,0.0297,0.0227,0.0123,0.1458,0.158,0.9784,0.9775
70,14,8830.0302734375,0.0256714038550853,0.0470638833940029,2.2483277320861816,0.0,5.407225035014562e-05,0.1348378211259842,0.0999372601509094,0.0363062769174575,0.2155125737190246,0.1118882372975349,0.8822879791259766,0.6382261514663696,38.34764862060547,565.907968,2,0,0,1,0,2,0,0,1,0,1,0.0351,0.0099,0.0015,0.0114,0.2489,0.9956,0.9958
71,19,8355.708984375,0.1035036146640777,0.102831445634365,1.2922464609146118,0.0,4.066163091920316e-05,0.2561256289482116,3.875638484954834,0.0103785097599029,0.0209987256675958,0.1572970300912857,0.9804280400276184,0.4612918198108673,40.18393707275391,649.324544,2,0,0,1,0,2,0,0,1,0,1,0.0918,1.3722,0.0353,0.0232,0.0152,0.9746,0.9902
