sample_index,model,hessian_method,zpe_eV,dft_zpe_eV,zpe_signed_error_eV,absolute_zpe_error_eV,reaction_delta_zpe_eV,dft_reaction_delta_zpe_eV,reaction_delta_zpe_signed_error_eV,absolute_reaction_delta_zpe_error_eV
4,DFT,DFT,1.2850061843375538,1.2850061843375538,0.0,0.0,-0.1097441454621459,-0.1097441454621459,0.0,0.0
4,AlphaNet AD,Automatic differentiation,1.240852022846579,1.2850061843375538,-0.04415416149097484,0.0441541614909748,-0.1030670474074428,-0.1097441454621459,0.0066770980547031095,0.006677098054703
4,LeftNet-CF AD,Automatic differentiation,0.665194411597047,1.2850061843375538,-0.6198117727405068,0.6198117727405068,-0.0263696785379115,-0.1097441454621459,0.0833744669242344,0.0833744669242344
4,LeftNet-DF AD,Automatic differentiation,1.2795407623372734,1.2850061843375538,-0.005465422000280329,0.0054654220002803,-0.111762563819473,-0.1097441454621459,-0.0020184183573270925,0.002018418357327
4,EquiformerV2 AD,Automatic differentiation,1.0906433464056506,1.2850061843375538,-0.19436283793190312,0.1943628379319031,0.0818508374851962,-0.1097441454621459,0.19159498294734212,0.1915949829473422
4,HIP,Direct prediction,1.2854958258422244,1.2850061843375538,0.0004896415046706792,0.0004896415046706,-0.10893972679918,-0.1097441454621459,0.0008044186629659056,0.0008044186629658
5,DFT,DFT,1.285006172002562,1.285006172002562,0.0,0.0,-0.1225368322793463,-0.1225368322793463,0.0,0.0
5,AlphaNet AD,Automatic differentiation,1.2408519488401324,1.285006172002562,-0.04415422316242967,0.0441542231624296,-0.1064622839580478,-0.1225368322793463,0.016074548321298496,0.0160745483212985
5,LeftNet-CF AD,Automatic differentiation,0.6651931968432467,1.285006172002562,-0.6198129751593153,0.6198129751593153,-0.2010293067267524,-0.1225368322793463,-0.0784924744474061,0.0784924744474061
5,LeftNet-DF AD,Automatic differentiation,1.2795369166442967,1.285006172002562,-0.005469255358265368,0.0054692553582653,-0.1426284575311407,-0.1225368322793463,-0.020091625251794407,0.0200916252517944
5,EquiformerV2 AD,Automatic differentiation,1.0908332696238143,1.285006172002562,-0.19417290237874774,0.1941729023787475,0.0320354270125136,-0.1225368322793463,0.1545722592918599,0.1545722592918599
5,HIP,Direct prediction,1.285490385182024,1.285006172002562,0.0004842131794620119,0.0004842131794617,-0.1218570396202081,-0.1225368322793463,0.0006797926591382009,0.0006797926591381
6,DFT,DFT,1.3042512774151076,1.3042512774151076,0.0,0.0,-0.1074861985963808,-0.1074861985963808,0.0,0.0
6,AlphaNet AD,Automatic differentiation,1.2977120678789704,1.3042512774151076,-0.0065392095361371805,0.0065392095361371,-0.1274498109984938,-0.1074861985963808,-0.019963612402113015,0.0199636124021129
6,LeftNet-CF AD,Automatic differentiation,0.5941988463932529,1.3042512774151076,-0.7100524310218547,0.7100524310218547,0.1432201111317544,-0.1074861985963808,0.2507063097281352,0.2507063097281353
6,LeftNet-DF AD,Automatic differentiation,1.3003947737420998,1.3042512774151076,-0.0038565036730078273,0.0038565036730078,-0.1150751303645161,-0.1074861985963808,-0.007588931768135299,0.0075889317681352
6,EquiformerV2 AD,Automatic differentiation,1.1058016221988416,1.3042512774151076,-0.198449655216266,0.198449655216266,0.0235827690581191,-0.1074861985963808,0.1310689676544999,0.1310689676545
6,HIP,Direct prediction,1.3044483190534886,1.3042512774151076,0.0001970416383809681,0.0001970416383809,-0.1067871540126867,-0.1074861985963808,0.0006990445836941028,0.0006990445836941
7,DFT,DFT,1.3042512904716348,1.3042512904716348,0.0,0.0,-0.1381432240108093,-0.1381432240108093,0.0,0.0
7,AlphaNet AD,Automatic differentiation,1.2977120161818274,1.3042512904716348,-0.006539274289807384,0.0065392742898073,-0.1877083716888667,-0.1381432240108093,-0.04956514767805739,0.0495651476780574
7,LeftNet-CF AD,Automatic differentiation,0.5941887898888747,1.3042512904716348,-0.7100625005827601,0.7100625005827601,0.0300203584003768,-0.1381432240108093,0.16816358241118612,0.1681635824111862
7,LeftNet-DF AD,Automatic differentiation,1.300404911090151,1.3042512904716348,-0.0038463793814838,0.0038463793814838,-0.1479887480634192,-0.1381432240108093,-0.009845524052609883,0.0098455240526098
7,EquiformerV2 AD,Automatic differentiation,1.1056905771459344,1.3042512904716348,-0.19856071332570036,0.1985607133257003,0.057329695901541,-0.1381432240108093,0.1954729199123503,0.1954729199123503
7,HIP,Direct prediction,1.3044446934070244,1.3042512904716348,0.0001934029353896083,0.0001934029353896,-0.137289008120077,-0.1381432240108093,0.0008542158907323127,0.0008542158907322
8,DFT,DFT,1.3042512904182435,1.3042512904182435,0.0,0.0,-0.1287924321327611,-0.1287924321327611,0.0,0.0
8,AlphaNet AD,Automatic differentiation,1.2977120240043063,1.3042512904182435,-0.006539266413937206,0.0065392664139374,-0.1578805222668617,-0.1287924321327611,-0.029088090134100603,0.0290880901341006
8,LeftNet-CF AD,Automatic differentiation,0.5941900059164985,1.3042512904182435,-0.710061284501745,0.7100612845017452,0.045433697819647,-0.1287924321327611,0.1742261299524081,0.1742261299524081
8,LeftNet-DF AD,Automatic differentiation,1.3004043209616605,1.3042512904182435,-0.003846969456583027,0.0038469694565834,-0.1327728184364354,-0.1287924321327611,-0.00398038630367431,0.0039803863036742
8,EquiformerV2 AD,Automatic differentiation,1.1058934121132953,1.3042512904182435,-0.19835787830494822,0.1983578783049484,0.0675106454030294,-0.1287924321327611,0.1963030775357905,0.1963030775357905
8,HIP,Direct prediction,1.304443151264829,1.3042512904182435,0.00019186084658540103,0.0001918608465851,-0.1280985070829227,-0.1287924321327611,0.0006939250498383953,0.0006939250498383
9,DFT,DFT,1.3042512625552365,1.3042512625552365,0.0,0.0,-0.0981424302080213,-0.0981424302080213,0.0,0.0
9,AlphaNet AD,Automatic differentiation,1.2977120543069731,1.3042512625552365,-0.006539208248263373,0.0065392082482633,-0.1518013669140629,-0.0981424302080213,-0.053658936706041604,0.0536589367060416
9,LeftNet-CF AD,Automatic differentiation,0.5941920491909364,1.3042512625552365,-0.7100592133643001,0.7100592133643001,-0.2235913453181449,-0.0981424302080213,-0.1254489151101236,0.1254489151101235
9,LeftNet-DF AD,Automatic differentiation,1.30040331035658,1.3042512625552365,-0.0038479521986565235,0.0038479521986565,-0.1175008670988908,-0.0981424302080213,-0.019358436890869496,0.0193584368908694
9,EquiformerV2 AD,Automatic differentiation,1.105795422242365,1.3042512625552365,-0.19845584031287156,0.1984558403128715,-0.0360509363616388,-0.0981424302080213,0.062091493846382496,0.0620914938463825
9,HIP,Direct prediction,1.3044582175891155,1.3042512625552365,0.00020695503387901937,0.000206955033879,-0.0974644261531187,-0.0981424302080213,0.0006780040549025923,0.0006780040549026
10,DFT,DFT,1.30425126255839,1.30425126255839,0.0,0.0,-0.2291409912674586,-0.2291409912674586,0.0,0.0
10,AlphaNet AD,Automatic differentiation,1.2977120191171698,1.30425126255839,-0.006539243441220144,0.0065392434412201,-0.2522367569374839,-0.2291409912674586,-0.023095765670025276,0.0230957656700252
10,LeftNet-CF AD,Automatic differentiation,0.594186459718391,1.30425126255839,-0.710064802839999,0.710064802839999,-0.4141484946523094,-0.2291409912674586,-0.1850075033848508,0.1850075033848507
10,LeftNet-DF AD,Automatic differentiation,1.3004048406668622,1.30425126255839,-0.0038464218915277293,0.0038464218915277,-0.2540993673949074,-0.2291409912674586,-0.024958376127448806,0.0249583761274487
10,EquiformerV2 AD,Automatic differentiation,1.10577990588094,1.30425126255839,-0.19847135667744986,0.19847135667745,-0.1897174196663512,-0.2291409912674586,0.039423571601107404,0.0394235716011074
10,HIP,Direct prediction,1.304457194598122,1.30425126255839,0.00020593203973207075,0.000205932039732,-0.2325133667856563,-0.2291409912674586,-0.00337237551819769,0.0033723755181976
11,DFT,DFT,1.304251262583482,1.304251262583482,0.0,0.0,-0.0235759411313751,-0.0235759411313751,0.0,0.0
11,AlphaNet AD,Automatic differentiation,1.2977120171440852,1.304251262583482,-0.006539245439396657,0.0065392454393966,-0.0564413680749027,-0.0235759411313751,-0.0328654269435276,0.0328654269435275
11,LeftNet-CF AD,Automatic differentiation,0.594187420085173,1.304251262583482,-0.7100638424983089,0.7100638424983089,0.3424488158634513,-0.0235759411313751,0.3660247569948264,0.3660247569948265
11,LeftNet-DF AD,Automatic differentiation,1.3004036651075392,1.304251262583482,-0.0038475974759426546,0.0038475974759426,-0.0271838033570199,-0.0235759411313751,-0.003607862225644798,0.0036078622256447
11,EquiformerV2 AD,Automatic differentiation,1.1059240742291752,1.304251262583482,-0.19832718835430674,0.1983271883543067,-0.0007902470646901,-0.0235759411313751,0.022785694066685,0.022785694066685
11,HIP,Direct prediction,1.3044401862903905,1.304251262583482,0.00018892370690859472,0.0001889237069085,-0.0228316828462414,-0.0235759411313751,0.0007442582851337025,0.0007442582851337
12,DFT,DFT,1.3042512625835878,1.3042512625835878,0.0,0.0,-0.2114737685518344,-0.2114737685518344,0.0,0.0
12,AlphaNet AD,Automatic differentiation,1.2977120259308612,1.3042512625835878,-0.006539236652726599,0.0065392366527265,-0.2109171003035734,-0.2114737685518344,0.0005566682482609775,0.0005566682482609
12,LeftNet-CF AD,Automatic differentiation,0.5941886556370068,1.3042512625835878,-0.710062606946581,0.710062606946581,-0.2211716846438744,-0.2114737685518344,-0.009697916092040015,0.00969791609204
12,LeftNet-DF AD,Automatic differentiation,1.300403679565619,1.3042512625835878,-0.0038475830179687254,0.0038475830179687,-0.2217172733165586,-0.2114737685518344,-0.010243504764724215,0.0102435047647242
12,EquiformerV2 AD,Automatic differentiation,1.1056288074957403,1.3042512625835878,-0.19862245508784748,0.1986224550878474,-0.1403918291791019,-0.2114737685518344,0.0710819393727325,0.0710819393727324
12,HIP,Direct prediction,1.3044446522467248,1.3042512625835878,0.00019338966313697803,0.0001933896631369,-0.2144286106832417,-0.2114737685518344,-0.0029548421314073148,0.0029548421314072
13,DFT,DFT,1.1984977695830326,1.1984977695830326,0.0,0.0,-0.0098332949787467,-0.0098332949787467,0.0,0.0
13,AlphaNet AD,Automatic differentiation,1.1321969787955777,1.1984977695830326,-0.06630079078745488,0.0663007907874548,-0.0704639287889106,-0.0098332949787467,-0.0606306338101639,0.0606306338101638
13,LeftNet-CF AD,Automatic differentiation,0.3354926782810531,1.1984977695830326,-0.8630050913019794,0.8630050913019794,0.4066630356850205,-0.0098332949787467,0.4164963306637672,0.4164963306637673
13,LeftNet-DF AD,Automatic differentiation,1.194916467421094,1.1984977695830326,-0.0035813021619386376,0.0035813021619384,-0.0640809524220378,-0.0098332949787467,-0.0542476574432911,0.054247657443291
13,EquiformerV2 AD,Automatic differentiation,1.0503576897835962,1.1984977695830326,-0.14814007979943633,0.1481400797994363,0.0906434486862746,-0.0098332949787467,0.1004767436650213,0.1004767436650213
13,HIP,Direct prediction,1.1987362314174657,1.1984977695830326,0.00023846183443310132,0.0002384618344331,-0.0127986879785183,-0.0098332949787467,-0.0029653929997716013,0.0029653929997716
14,DFT,DFT,2.5541021086599054,2.5541021086599054,0.0,0.0,-0.0067823379006841,-0.0067823379006841,0.0,0.0
14,AlphaNet AD,Automatic differentiation,2.4934980871720605,2.5541021086599054,-0.06060402148784494,0.0606040214878449,0.0208814898086084,-0.0067823379006841,0.027663827709292498,0.0276638277092926
14,LeftNet-CF AD,Automatic differentiation,1.0076214855930694,2.5541021086599054,-1.546480623066836,1.546480623066836,0.2944137317513007,-0.0067823379006841,0.3011960696519848,0.3011960696519848
14,LeftNet-DF AD,Automatic differentiation,2.5502545900002205,2.5541021086599054,-0.003847518659684912,0.0038475186596849,-0.0146342025523638,-0.0067823379006841,-0.0078518646516797,0.0078518646516796
14,EquiformerV2 AD,Automatic differentiation,2.543297684767243,2.5541021086599054,-0.010804423892662562,0.0108044238926625,-0.019050476644713,-0.0067823379006841,-0.012268138744028899,0.0122681387440288
14,HIP,Direct prediction,2.5547253675960686,2.5541021086599054,0.0006232589361632179,0.0006232589361632,-0.0059723170384484,-0.0067823379006841,0.0008100208622356993,0.0008100208622357
15,DFT,DFT,2.5541037509439635,2.5541037509439635,0.0,0.0,-0.0067863671710099,-0.0067863671710099,0.0,0.0
15,AlphaNet AD,Automatic differentiation,2.493498662167554,2.5541037509439635,-0.06060508877640958,0.0606050887764095,-0.004914435004931,-0.0067863671710099,0.0018719321660789004,0.0018719321660789
15,LeftNet-CF AD,Automatic differentiation,1.0074603158729605,2.5541037509439635,-1.546643435071003,1.546643435071003,-0.0061755322964471,-0.0067863671710099,0.0006108348745628009,0.0006108348745628
15,LeftNet-DF AD,Automatic differentiation,2.550436585311053,2.5541037509439635,-0.003667165632910585,0.0036671656329105,-0.025439480731169,-0.0067863671710099,-0.0186531135601591,0.018653113560159
15,EquiformerV2 AD,Automatic differentiation,2.5432676660152937,2.5541037509439635,-0.01083608492866972,0.0108360849286697,-0.0434611429228493,-0.0067863671710099,-0.036674775751839396,0.0366747757518393
15,HIP,Direct prediction,2.5547162025711776,2.5541037509439635,0.0006124516272141278,0.0006124516272141,-0.0060290347907847,-0.0067863671710099,0.0007573323802252006,0.0007573323802252
16,DFT,DFT,2.66990585356067,2.66990585356067,0.0,0.0,-0.0042599576517923,-0.0042599576517923,0.0,0.0
16,AlphaNet AD,Automatic differentiation,2.607590346987579,2.66990585356067,-0.06231550657309093,0.0623155065730909,-0.0762737046042838,-0.0042599576517923,-0.0720137469524915,0.0720137469524915
16,LeftNet-CF AD,Automatic differentiation,1.4561573986166083,2.66990585356067,-1.2137484549440618,1.2137484549440616,-0.0039705298862051,-0.0042599576517923,0.0002894277655871996,0.0002894277655871
16,LeftNet-DF AD,Automatic differentiation,2.6579877714343696,2.66990585356067,-0.011918082126300522,0.0119180821263005,-0.0312728652431926,-0.0042599576517923,-0.027012907591400303,0.0270129075914002
16,EquiformerV2 AD,Automatic differentiation,2.5518747158962745,2.66990585356067,-0.11803113766439566,0.1180311376643956,-0.0024739539921467,-0.0042599576517923,0.0017860036596455998,0.0017860036596455
16,HIP,Direct prediction,2.670001817644905,2.66990585356067,9.59640842350673e-05,9.59640842350673e-05,-0.0035656089439585,-0.0042599576517923,0.0006943487078337998,0.0006943487078338
17,DFT,DFT,2.669905984003515,2.669905984003515,0.0,0.0,0.0140435141314192,0.0140435141314192,0.0,0.0
17,AlphaNet AD,Automatic differentiation,2.6075888262882776,2.669905984003515,-0.06231715771523749,0.0623171577152374,-0.1120450755696937,0.0140435141314192,-0.1260885897011129,0.126088589701113
17,LeftNet-CF AD,Automatic differentiation,1.456648254652506,2.669905984003515,-1.2132577293510092,1.213257729351009,-0.2202018184100471,0.0140435141314192,-0.2342453325414663,0.2342453325414664
17,LeftNet-DF AD,Automatic differentiation,2.6581904015054576,2.669905984003515,-0.011715582498057486,0.0117155824980574,0.0068012234543224,0.0140435141314192,-0.0072422906770968,0.0072422906770968
17,EquiformerV2 AD,Automatic differentiation,2.5511367081723813,2.669905984003515,-0.11876927583113384,0.1187692758311338,0.0580657231934997,0.0140435141314192,0.0440222090620805,0.0440222090620805
17,HIP,Direct prediction,2.670020128595217,2.669905984003515,0.00011414459170211444,0.0001141445917021,0.0148711731008836,0.0140435141314192,0.0008276589694643996,0.0008276589694643
18,DFT,DFT,2.6699059848171056,2.6699059848171056,0.0,0.0,-0.0899320576975086,-0.0899320576975086,0.0,0.0
18,AlphaNet AD,Automatic differentiation,2.607588855125042,2.6699059848171056,-0.06231712969206349,0.0623171296920634,-0.0724394680869795,-0.0899320576975086,0.017492589610529102,0.0174925896105291
18,LeftNet-CF AD,Automatic differentiation,1.4558323363262786,2.6699059848171056,-1.214073648490827,1.214073648490827,-0.3248246979322067,-0.0899320576975086,-0.23489264023469808,0.234892640234698
18,LeftNet-DF AD,Automatic differentiation,2.657805489046322,2.6699059848171056,-0.012100495770783759,0.0121004957707837,-0.0963204708564036,-0.0899320576975086,-0.006388413158895004,0.0063884131588949
18,EquiformerV2 AD,Automatic differentiation,2.5515546754767926,2.6699059848171056,-0.11835130934031302,0.118351309340313,-0.0253309402843862,-0.0899320576975086,0.06460111741312241,0.0646011174131224
18,HIP,Direct prediction,2.670026194921299,2.6699059848171056,0.00012021010419349665,0.0001202101041934,-0.0928454915921949,-0.0899320576975086,-0.002913433894686304,0.0029134338946862
19,DFT,DFT,2.66990600919797,2.66990600919797,0.0,0.0,-0.1045567456446097,-0.1045567456446097,0.0,0.0
19,AlphaNet AD,Automatic differentiation,2.607588923959662,2.66990600919797,-0.062317085238308145,0.0623170852383081,-0.0872213360448315,-0.1045567456446097,0.01733540959977821,0.0173354095997781
19,LeftNet-CF AD,Automatic differentiation,1.4556709768688332,2.66990600919797,-1.2142350323291369,1.2142350323291369,-0.7501332934469036,-0.1045567456446097,-0.6455765478022939,0.6455765478022939
19,LeftNet-DF AD,Automatic differentiation,2.657794400721948,2.66990600919797,-0.012111608476021996,0.0121116084760219,-0.1090243595428219,-0.1045567456446097,-0.004467613898212194,0.0044676138982122
19,EquiformerV2 AD,Automatic differentiation,2.5518180029187816,2.66990600919797,-0.11808800627918847,0.1180880062791884,-0.0680895739114784,-0.1045567456446097,0.03646717173313131,0.0364671717331313
19,HIP,Direct prediction,2.6700185965611234,2.66990600919797,0.00011258736315333806,0.0001125873631533,-0.1073306953719903,-0.1045567456446097,-0.002773949727380598,0.0027739497273806
20,DFT,DFT,2.6699060098231397,2.6699060098231397,0.0,0.0,-0.0251295322628473,-0.0251295322628473,0.0,0.0
20,AlphaNet AD,Automatic differentiation,2.607588865318992,2.6699060098231397,-0.06231714450414794,0.0623171445041474,-0.087687966320229,-0.0251295322628473,-0.0625584340573817,0.0625584340573817
20,LeftNet-CF AD,Automatic differentiation,1.45568423836259,2.6699060098231397,-1.2142217714605497,1.2142217714605494,-0.0972363807712335,-0.0251295322628473,-0.07210684850838621,0.0721068485083862
20,LeftNet-DF AD,Automatic differentiation,2.657720073511788,2.6699060098231397,-0.012185936311351675,0.0121859363113512,-0.0819578363313482,-0.0251295322628473,-0.05682830406850091,0.0568283040685009
20,EquiformerV2 AD,Automatic differentiation,2.5517605221758712,2.6699060098231397,-0.11814548764726851,0.118145487647268,0.0527523566949579,-0.0251295322628473,0.07788188895780519,0.0778818889578052
20,HIP,Direct prediction,2.670001099944298,2.6699060098231397,9.509012115804794e-05,9.509012115849202e-05,-0.0278539140230879,-0.0251295322628473,-0.002724381760240601,0.0027243817602406
21,DFT,DFT,2.669906008960113,2.669906008960113,0.0,0.0,0.0049346266976266,0.0049346266976266,0.0,0.0
21,AlphaNet AD,Automatic differentiation,2.607588805658174,2.669906008960113,-0.06231720330193902,0.062317203301939,-0.0182700049177988,0.0049346266976266,-0.0232046316154254,0.0232046316154255
21,LeftNet-CF AD,Automatic differentiation,1.455895106878824,2.669906008960113,-1.2140109020812893,1.2140109020812893,-0.3722621389387202,0.0049346266976266,-0.3771967656363468,0.3771967656363468
21,LeftNet-DF AD,Automatic differentiation,2.6576554173674816,2.669906008960113,-0.012250591592631643,0.0122505915926316,-0.0150160403209831,0.0049346266976266,-0.019950667018609702,0.0199506670186098
21,EquiformerV2 AD,Automatic differentiation,2.5517281229751245,2.669906008960113,-0.11817788598498868,0.1181778859849886,0.1075040423090927,0.0049346266976266,0.1025694156114661,0.102569415611466
21,HIP,Direct prediction,2.670012444558209,2.669906008960113,0.00010643559809597747,0.0001064355980959,0.0021577799043039,0.0049346266976266,-0.0027768467933227,0.0027768467933227
22,DFT,DFT,2.669905984876317,2.669905984876317,0.0,0.0,-0.0054051760674669,-0.0054051760674669,0.0,0.0
22,AlphaNet AD,Automatic differentiation,2.607588893514955,2.669905984876317,-0.062317091361361765,0.0623170913613617,-0.0322081045203233,-0.0054051760674669,-0.0268029284528564,0.0268029284528563
22,LeftNet-CF AD,Automatic differentiation,1.4562111556216677,2.669905984876317,-1.2136948292546492,1.2136948292546494,-0.0210311650525083,-0.0054051760674669,-0.0156259889850414,0.0156259889850414
22,LeftNet-DF AD,Automatic differentiation,2.657957619294922,2.669905984876317,-0.011948365581394782,0.0119483655813947,-0.0159678830695129,-0.0054051760674669,-0.010562707002046,0.0105627070020459
22,EquiformerV2 AD,Automatic differentiation,2.5510666892066776,2.669905984876317,-0.11883929566963936,0.1188392956696393,0.0136026621036222,-0.0054051760674669,0.0190078381710891,0.0190078381710891
22,HIP,Direct prediction,2.669999929384164,2.669905984876317,9.394450784716568e-05,9.394450784716568e-05,-0.0045292037408052,-0.0054051760674669,0.0008759723266617003,0.0008759723266616
23,DFT,DFT,2.669905984827781,2.669905984827781,0.0,0.0,-0.0089743831520316,-0.0089743831520316,0.0,0.0
23,AlphaNet AD,Automatic differentiation,2.607588881131099,2.669905984827781,-0.062317103696682086,0.062317103696682,-0.0225336156944573,-0.0089743831520316,-0.0135592325424257,0.0135592325424256
23,LeftNet-CF AD,Automatic differentiation,1.456114541889495,2.669905984827781,-1.2137914429382861,1.213791442938286,0.2627318279049964,-0.0089743831520316,0.27170621105702797,0.2717062110570281
23,LeftNet-DF AD,Automatic differentiation,2.657804930329488,2.669905984827781,-0.012101054498292907,0.0121010544982933,-0.0191549823025267,-0.0089743831520316,-0.0101805991504951,0.010180599150495
23,EquiformerV2 AD,Automatic differentiation,2.5508602431822416,2.669905984827781,-0.1190457416455395,0.1190457416455395,-0.0244169832024625,-0.0089743831520316,-0.015442600050430902,0.0154426000504308
23,HIP,Direct prediction,2.669994007451641,2.669905984827781,8.80226238599846e-05,8.80226238599846e-05,-0.0080913566518326,-0.0089743831520316,0.0008830265001990006,0.000883026500199
24,DFT,DFT,2.669906009204224,2.669906009204224,0.0,0.0,0.020362121649927,0.020362121649927,0.0,0.0
24,AlphaNet AD,Automatic differentiation,2.607588857457805,2.669906009204224,-0.062317151746419164,0.0623171517464187,0.0441918096334994,0.020362121649927,0.023829687983572396,0.0238296879835724
24,LeftNet-CF AD,Automatic differentiation,1.4562392074464705,2.669906009204224,-1.2136668017577537,1.2136668017577537,-0.4188334458468574,0.020362121649927,-0.4391955674967844,0.4391955674967844
24,LeftNet-DF AD,Automatic differentiation,2.6579464384137674,2.669906009204224,-0.01195957079045673,0.0119595707904567,0.005468611106941,0.020362121649927,-0.014893510542986002,0.0148935105429859
24,EquiformerV2 AD,Automatic differentiation,2.55156214417142,2.669906009204224,-0.11834386503280436,0.1183438650328043,0.1231898227861738,0.020362121649927,0.1028277011362468,0.1028277011362468
24,HIP,Direct prediction,2.670001065543917,2.669906009204224,9.50563396928672e-05,9.50563396928672e-05,0.0212278332560408,0.020362121649927,0.0008657116061137997,0.0008657116061138
25,DFT,DFT,2.6641793796086866,2.6641793796086866,0.0,0.0,0.0091645033528937,0.0091645033528937,0.0,0.0
25,AlphaNet AD,Automatic differentiation,2.564717342850313,2.6641793796086866,-0.09946203675837362,0.0994620367583736,-0.0134351628952473,0.0091645033528937,-0.022599666248140998,0.0225996662481411
25,LeftNet-CF AD,Automatic differentiation,1.1719238296201064,2.6641793796086866,-1.4922555499885801,1.49225554998858,0.6075247856349626,0.0091645033528937,0.598360282282069,0.5983602822820688
25,LeftNet-DF AD,Automatic differentiation,2.6531032970231583,2.6641793796086866,-0.01107608258552828,0.0110760825855282,-0.0322081945689114,0.0091645033528937,-0.0413726979218051,0.0413726979218052
