model,sample_index,number_of_atoms,dft_negative_mode_count,predicted_negative_mode_count,exact_negative_mode_count_match,dft_stationary_point_class,predicted_stationary_point_class,three_class_match
AlphaNet AD,132,16,0,0,True,Minimum,Minimum,True
AlphaNet AD,133,13,0,0,True,Minimum,Minimum,True
AlphaNet AD,134,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,135,18,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,136,16,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,137,9,0,0,True,Minimum,Minimum,True
AlphaNet AD,138,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,139,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,140,16,2,3,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,141,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,142,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,143,13,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,144,21,1,1,True,Transition state,Transition state,True
AlphaNet AD,145,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,146,11,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,147,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,148,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,149,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,150,14,1,4,False,Transition state,Higher-order saddle point,False
AlphaNet AD,151,19,1,1,True,Transition state,Transition state,True
AlphaNet AD,152,12,0,1,False,Minimum,Transition state,False
AlphaNet AD,153,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,154,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,155,9,1,1,True,Transition state,Transition state,True
AlphaNet AD,156,16,0,0,True,Minimum,Minimum,True
AlphaNet AD,157,16,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,158,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,159,12,1,3,False,Transition state,Higher-order saddle point,False
AlphaNet AD,160,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,161,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,162,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,163,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,164,13,0,0,True,Minimum,Minimum,True
AlphaNet AD,165,14,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,166,11,1,1,True,Transition state,Transition state,True
AlphaNet AD,167,17,0,1,False,Minimum,Transition state,False
AlphaNet AD,168,9,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,169,13,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,170,11,1,1,True,Transition state,Transition state,True
AlphaNet AD,171,11,1,1,True,Transition state,Transition state,True
AlphaNet AD,172,13,0,0,True,Minimum,Minimum,True
AlphaNet AD,173,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,174,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,175,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,176,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,177,17,3,4,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,178,8,1,1,True,Transition state,Transition state,True
AlphaNet AD,179,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,180,11,1,0,False,Transition state,Minimum,False
AlphaNet AD,181,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,182,9,0,0,True,Minimum,Minimum,True
AlphaNet AD,183,11,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,184,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,185,18,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,186,6,0,0,True,Minimum,Minimum,True
AlphaNet AD,187,19,1,1,True,Transition state,Transition state,True
AlphaNet AD,188,12,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,189,11,0,0,True,Minimum,Minimum,True
AlphaNet AD,190,11,2,3,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,191,14,0,1,False,Minimum,Transition state,False
AlphaNet AD,192,11,0,0,True,Minimum,Minimum,True
AlphaNet AD,193,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,194,16,0,0,True,Minimum,Minimum,True
AlphaNet AD,195,16,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,196,16,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,197,19,0,0,True,Minimum,Minimum,True
AlphaNet AD,198,11,1,1,True,Transition state,Transition state,True
AlphaNet AD,199,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,200,17,1,1,True,Transition state,Transition state,True
AlphaNet AD,201,17,0,0,True,Minimum,Minimum,True
AlphaNet AD,202,5,0,0,True,Minimum,Minimum,True
AlphaNet AD,203,17,1,1,True,Transition state,Transition state,True
AlphaNet AD,204,10,0,1,False,Minimum,Transition state,False
AlphaNet AD,205,15,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,206,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,207,10,0,0,True,Minimum,Minimum,True
AlphaNet AD,208,10,0,0,True,Minimum,Minimum,True
AlphaNet AD,209,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,210,14,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,211,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,212,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,213,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,214,17,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,215,10,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,216,10,0,1,False,Minimum,Transition state,False
AlphaNet AD,217,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,218,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,219,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,220,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,221,16,2,1,False,Higher-order saddle point,Transition state,False
AlphaNet AD,222,16,0,0,True,Minimum,Minimum,True
AlphaNet AD,223,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,224,14,3,2,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,225,19,0,0,True,Minimum,Minimum,True
AlphaNet AD,226,11,0,1,False,Minimum,Transition state,False
AlphaNet AD,227,12,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,228,8,2,1,False,Higher-order saddle point,Transition state,False
AlphaNet AD,229,14,0,1,False,Minimum,Transition state,False
AlphaNet AD,230,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,231,11,0,0,True,Minimum,Minimum,True
AlphaNet AD,232,13,0,0,True,Minimum,Minimum,True
AlphaNet AD,233,17,0,0,True,Minimum,Minimum,True
AlphaNet AD,234,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,235,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,236,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,237,14,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,238,11,1,1,True,Transition state,Transition state,True
AlphaNet AD,239,14,4,3,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,240,11,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,241,8,0,2,False,Minimum,Higher-order saddle point,False
AlphaNet AD,242,9,2,1,False,Higher-order saddle point,Transition state,False
AlphaNet AD,243,11,1,1,True,Transition state,Transition state,True
AlphaNet AD,244,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,245,11,1,1,True,Transition state,Transition state,True
AlphaNet AD,246,12,0,1,False,Minimum,Transition state,False
AlphaNet AD,247,16,0,0,True,Minimum,Minimum,True
AlphaNet AD,248,16,0,0,True,Minimum,Minimum,True
AlphaNet AD,249,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,250,17,0,0,True,Minimum,Minimum,True
AlphaNet AD,251,14,3,4,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,252,11,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,253,19,0,0,True,Minimum,Minimum,True
AlphaNet AD,254,16,0,1,False,Minimum,Transition state,False
AlphaNet AD,255,12,1,0,False,Transition state,Minimum,False
AlphaNet AD,256,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,257,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,258,11,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,259,12,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,260,15,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,261,13,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,262,19,0,1,False,Minimum,Transition state,False
AlphaNet AD,263,12,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,264,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,265,12,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,266,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,267,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,268,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,269,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,270,12,3,4,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,271,18,0,0,True,Minimum,Minimum,True
AlphaNet AD,272,9,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,273,8,1,1,True,Transition state,Transition state,True
AlphaNet AD,274,18,0,0,True,Minimum,Minimum,True
AlphaNet AD,275,10,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,276,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,277,13,0,0,True,Minimum,Minimum,True
AlphaNet AD,278,17,0,0,True,Minimum,Minimum,True
AlphaNet AD,279,16,2,5,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,280,18,1,1,True,Transition state,Transition state,True
AlphaNet AD,281,14,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,282,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,283,15,2,3,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,284,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,285,17,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,286,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,287,10,1,1,True,Transition state,Transition state,True
AlphaNet AD,288,13,0,1,False,Minimum,Transition state,False
AlphaNet AD,289,12,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,290,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,291,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,292,17,1,0,False,Transition state,Minimum,False
AlphaNet AD,293,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,294,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,295,5,0,0,True,Minimum,Minimum,True
AlphaNet AD,296,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,297,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,298,13,0,0,True,Minimum,Minimum,True
AlphaNet AD,299,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,300,15,2,1,False,Higher-order saddle point,Transition state,False
AlphaNet AD,301,17,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,302,12,1,0,False,Transition state,Minimum,False
AlphaNet AD,303,11,1,0,False,Transition state,Minimum,False
AlphaNet AD,304,18,1,1,True,Transition state,Transition state,True
AlphaNet AD,305,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,306,16,4,5,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,307,15,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,308,18,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,309,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,310,11,0,0,True,Minimum,Minimum,True
AlphaNet AD,311,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,312,9,0,1,False,Minimum,Transition state,False
AlphaNet AD,313,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,314,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,315,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,316,14,3,2,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,317,9,0,0,True,Minimum,Minimum,True
AlphaNet AD,318,17,0,1,False,Minimum,Transition state,False
AlphaNet AD,319,10,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,320,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,321,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,322,10,0,1,False,Minimum,Transition state,False
AlphaNet AD,323,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,324,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,325,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,326,10,1,1,True,Transition state,Transition state,True
AlphaNet AD,327,13,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,328,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,329,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,330,19,0,1,False,Minimum,Transition state,False
AlphaNet AD,331,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,332,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,333,16,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,334,13,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,335,11,0,0,True,Minimum,Minimum,True
AlphaNet AD,336,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,337,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,338,15,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,339,13,0,0,True,Minimum,Minimum,True
AlphaNet AD,340,15,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,341,13,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,342,10,0,0,True,Minimum,Minimum,True
AlphaNet AD,343,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,344,11,0,0,True,Minimum,Minimum,True
AlphaNet AD,345,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,346,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,347,14,1,1,True,Transition state,Transition state,True
AlphaNet AD,348,16,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,349,12,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,350,16,0,1,False,Minimum,Transition state,False
AlphaNet AD,351,18,1,1,True,Transition state,Transition state,True
AlphaNet AD,352,10,0,0,True,Minimum,Minimum,True
AlphaNet AD,353,12,2,3,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,354,11,1,1,True,Transition state,Transition state,True
AlphaNet AD,355,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,356,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,357,17,0,0,True,Minimum,Minimum,True
AlphaNet AD,358,13,0,0,True,Minimum,Minimum,True
AlphaNet AD,359,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,360,16,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,361,19,1,1,True,Transition state,Transition state,True
AlphaNet AD,362,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,363,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,364,17,4,4,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,365,11,0,0,True,Minimum,Minimum,True
AlphaNet AD,366,19,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,367,7,0,0,True,Minimum,Minimum,True
AlphaNet AD,368,10,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,369,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,370,15,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,371,15,0,0,True,Minimum,Minimum,True
AlphaNet AD,372,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,373,10,2,3,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,374,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,375,12,1,1,True,Transition state,Transition state,True
AlphaNet AD,376,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,377,11,1,1,True,Transition state,Transition state,True
AlphaNet AD,378,17,1,1,True,Transition state,Transition state,True
AlphaNet AD,379,13,1,1,True,Transition state,Transition state,True
AlphaNet AD,380,8,2,3,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,381,9,0,2,False,Minimum,Higher-order saddle point,False
AlphaNet AD,382,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,383,10,1,1,True,Transition state,Transition state,True
AlphaNet AD,384,14,0,1,False,Minimum,Transition state,False
AlphaNet AD,385,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,386,13,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,387,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,388,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,389,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,390,13,3,4,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,391,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,392,11,0,1,False,Minimum,Transition state,False
AlphaNet AD,393,9,0,0,True,Minimum,Minimum,True
AlphaNet AD,394,13,0,0,True,Minimum,Minimum,True
AlphaNet AD,395,13,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,396,10,1,2,False,Transition state,Higher-order saddle point,False
AlphaNet AD,397,13,0,0,True,Minimum,Minimum,True
AlphaNet AD,398,9,0,0,True,Minimum,Minimum,True
AlphaNet AD,399,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,400,14,0,1,False,Minimum,Transition state,False
AlphaNet AD,401,14,0,1,False,Minimum,Transition state,False
AlphaNet AD,402,15,1,1,True,Transition state,Transition state,True
AlphaNet AD,403,16,1,1,True,Transition state,Transition state,True
AlphaNet AD,404,12,0,0,True,Minimum,Minimum,True
AlphaNet AD,405,12,3,3,True,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,406,12,2,4,False,Higher-order saddle point,Higher-order saddle point,True
AlphaNet AD,407,14,0,0,True,Minimum,Minimum,True
AlphaNet AD,408,10,0,0,True,Minimum,Minimum,True
AlphaNet AD,409,18,2,1,False,Higher-order saddle point,Transition state,False
AlphaNet AD,410,6,0,0,True,Minimum,Minimum,True
AlphaNet AD,411,12,0,0,True,Minimum,Minimum,True
